#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V723 Cas,2449956.250,0.25,4,9.28,0.11,V
V723 Cas,2449956.750,0.75,1,9.10,0.15,V
V723 Cas,2449957.250,1.25,13,9.08,0.07,V
V723 Cas,2449957.750,1.75,6,8.88,0.06,V
V723 Cas,2449958.250,2.25,13,9.05,0.05,V
V723 Cas,2449958.750,2.75,16,8.93,0.04,V
V723 Cas,2449959.250,3.25,17,8.92,0.03,V
V723 Cas,2449959.750,3.75,19,8.92,0.04,V
V723 Cas,2449960.250,4.25,12,8.95,0.06,V
V723 Cas,2449960.750,4.75,14,8.94,0.03,V
V723 Cas,2449961.250,5.25,13,8.88,0.03,V
V723 Cas,2449961.750,5.75,8,8.96,0.05,V
V723 Cas,2449962.250,6.25,19,9.02,0.05,V
V723 Cas,2449962.750,6.75,17,8.96,0.04,V
V723 Cas,2449963.250,7.25,16,9.02,0.05,V
V723 Cas,2449963.750,7.75,36,8.90,0.02,V
V723 Cas,2449964.250,8.25,14,8.99,0.04,V
V723 Cas,2449964.750,8.75,37,8.91,0.02,V
V723 Cas,2449965.250,9.25,16,8.94,0.06,V
V723 Cas,2449965.750,9.75,24,8.89,0.04,V
V723 Cas,2449966.250,10.25,11,8.87,0.05,V
V723 Cas,2449966.750,10.75,23,8.86,0.04,V
V723 Cas,2449967.250,11.25,12,8.97,0.05,V
V723 Cas,2449967.750,11.75,17,8.71,0.04,V
V723 Cas,2449968.250,12.25,6,8.88,0.06,V
V723 Cas,2449968.750,12.75,5,8.84,0.07,V
V723 Cas,2449969.250,13.25,12,8.90,0.05,V
V723 Cas,2449969.750,13.75,6,8.78,0.06,V
V723 Cas,2449970.500,14.50,31,8.79,0.03,V
V723 Cas,2449971.500,15.50,47,8.86,0.03,V
V723 Cas,2449972.500,16.50,41,8.84,0.03,V
V723 Cas,2449973.500,17.50,32,8.88,0.02,V
V723 Cas,2449974.500,18.50,21,8.84,0.04,V
V723 Cas,2449975.500,19.50,38,8.87,0.03,V
V723 Cas,2449976.500,20.50,42,8.85,0.03,V
V723 Cas,2449977.500,21.50,31,8.89,0.03,V
V723 Cas,2449978.500,22.50,40,9.01,0.03,V
V723 Cas,2449979.500,23.50,43,8.86,0.03,V
V723 Cas,2449980.500,24.50,22,8.88,0.03,V
V723 Cas,2449981.500,25.50,28,8.92,0.03,V
V723 Cas,2449982.500,26.50,26,8.89,0.03,V
V723 Cas,2449983.500,27.50,22,8.90,0.03,V
V723 Cas,2449984.500,28.50,37,8.90,0.03,V
V723 Cas,2449985.500,29.50,18,8.92,0.04,V
V723 Cas,2449986.500,30.50,15,8.87,0.05,V
V723 Cas,2449987.500,31.50,22,8.81,0.04,V
V723 Cas,2449988.500,32.50,47,8.80,0.03,V
V723 Cas,2449989.500,33.50,42,8.89,0.03,V
V723 Cas,2449990.500,34.50,50,8.89,0.02,V
V723 Cas,2449991.500,35.50,21,8.89,0.03,V
V723 Cas,2449992.500,36.50,41,8.93,0.02,V
V723 Cas,2449993.500,37.50,31,8.86,0.03,V
V723 Cas,2449994.500,38.50,16,8.84,0.05,V
V723 Cas,2449995.500,39.50,18,8.91,0.04,V
V723 Cas,2449996.500,40.50,22,8.87,0.04,V
V723 Cas,2449997.500,41.50,17,8.89,0.04,V
V723 Cas,2449998.500,42.50,19,8.82,0.05,V
V723 Cas,2449999.500,43.50,46,8.91,0.02,V
V723 Cas,2450000.500,44.50,48,8.95,0.02,V
V723 Cas,2450001.500,45.50,50,8.86,0.03,V
V723 Cas,2450002.500,46.50,57,8.89,0.03,V
V723 Cas,2450003.500,47.50,64,8.89,0.03,V
V723 Cas,2450004.500,48.50,56,8.89,0.03,V
V723 Cas,2450005.500,49.50,25,8.91,0.04,V
V723 Cas,2450006.500,50.50,58,8.89,0.02,V
V723 Cas,2450007.500,51.50,48,8.91,0.03,V
V723 Cas,2450008.500,52.50,50,8.88,0.03,V
V723 Cas,2450009.500,53.50,50,8.85,0.03,V
V723 Cas,2450010.500,54.50,45,8.80,0.03,V
V723 Cas,2450011.500,55.50,28,8.86,0.04,V
V723 Cas,2450012.500,56.50,55,8.93,0.03,V
V723 Cas,2450013.500,57.50,75,8.89,0.02,V
V723 Cas,2450014.500,58.50,64,8.86,0.03,V
V723 Cas,2450015.500,59.50,54,8.74,0.04,V
V723 Cas,2450016.500,60.50,38,8.76,0.03,V
V723 Cas,2450017.500,61.50,34,8.85,0.04,V
V723 Cas,2450018.500,62.50,22,8.88,0.04,V
V723 Cas,2450019.500,63.50,25,8.86,0.03,V
V723 Cas,2450020.500,64.50,28,8.88,0.05,V
V723 Cas,2450021.500,65.50,27,8.69,0.03,V
V723 Cas,2450022.500,66.50,11,8.68,0.05,V
V723 Cas,2450023.500,67.50,12,8.80,0.06,V
V723 Cas,2450024.500,68.50,16,8.63,0.07,V
V723 Cas,2450025.500,69.50,21,8.56,0.04,V
V723 Cas,2450026.500,70.50,48,8.52,0.02,V
