#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V5114 Sgr,2453080.300,0.25,1,9.40,0.15,V
V5114 Sgr,2453081.850,1.85,2,8.20,0.11,V
V5114 Sgr,2453081.950,1.95,10,8.38,0.02,V
V5114 Sgr,2453082.050,2.05,1,8.10,0.15,V
V5114 Sgr,2453082.150,2.15,1,8.50,0.15,V
V5114 Sgr,2453083.050,3.05,2,8.30,0.11,V
V5114 Sgr,2453083.250,3.25,1,8.60,0.15,V
V5114 Sgr,2453083.750,3.75,1,8.60,0.15,V
V5114 Sgr,2453083.850,3.85,1,8.64,0.15,V
V5114 Sgr,2453083.950,3.95,10,8.76,0.02,V
V5114 Sgr,2453084.050,4.05,21,8.79,0.03,V
V5114 Sgr,2453084.150,4.15,1,9.00,0.15,V
V5114 Sgr,2453084.850,4.85,1,9.00,0.15,V
V5114 Sgr,2453084.950,4.95,11,9.02,0.02,V
V5114 Sgr,2453085.500,5.50,6,9.08,0.06,V
V5114 Sgr,2453086.500,6.50,4,9.05,0.09,V
V5114 Sgr,2453087.500,7.50,3,9.13,0.09,V
V5114 Sgr,2453088.500,8.50,2,9.35,0.11,V
V5114 Sgr,2453089.500,9.50,11,9.77,0.03,V
V5114 Sgr,2453090.500,10.50,3,9.67,0.14,V
V5114 Sgr,2453091.500,11.50,13,9.90,0.05,V
V5114 Sgr,2453092.500,12.50,12,10.14,0.04,V
V5114 Sgr,2453093.500,13.50,1,9.60,0.15,V
V5114 Sgr,2453094.500,14.50,2,10.35,0.11,V
V5114 Sgr,2453095.500,15.50,13,10.47,0.02,V
V5114 Sgr,2453096.500,16.50,10,10.66,0.02,V
V5114 Sgr,2453097.500,17.50,2,10.65,0.11,V
V5114 Sgr,2453098.500,18.50,11,10.68,0.02,V
V5114 Sgr,2453099.500,19.50,10,10.84,0.02,V
V5114 Sgr,2453100.500,20.50,1,10.70,0.15,V
V5114 Sgr,2453102.500,22.50,10,11.00,0.02,V
V5114 Sgr,2453104.500,24.50,10,11.30,0.02,V
V5114 Sgr,2453106.500,26.50,1,11.40,0.15,V
V5114 Sgr,2453107.500,27.50,1,11.60,0.15,V
V5114 Sgr,2453109.500,29.50,2,11.50,0.14,V
V5114 Sgr,2453110.500,30.50,1,11.60,0.15,V
V5114 Sgr,2453112.500,32.50,12,11.78,0.06,V
V5114 Sgr,2453113.500,33.50,1,12.00,0.15,V
V5114 Sgr,2453114.500,34.50,1,11.70,0.15,V
V5114 Sgr,2453117.000,37.00,45,11.92,0.02,V
V5114 Sgr,2453121.000,41.00,25,12.00,0.04,V
V5114 Sgr,2453125.000,45.00,25,11.87,0.07,V
V5114 Sgr,2453129.000,49.00,12,12.21,0.06,V
V5114 Sgr,2453133.000,53.00,11,12.52,0.02,V
V5114 Sgr,2453137.000,57.00,11,12.82,0.08,V
V5114 Sgr,2453141.000,61.00,14,12.74,0.04,V
V5114 Sgr,2453145.000,65.00,23,13.09,0.04,V
V5114 Sgr,2453149.000,69.00,33,13.10,0.02,V
V5114 Sgr,2453153.000,73.00,23,13.12,0.02,V
V5114 Sgr,2453157.000,77.00,22,13.38,0.05,V
V5114 Sgr,2453161.000,81.00,20,13.35,0.02,V
V5114 Sgr,2453165.000,85.00,21,13.58,0.05,V
V5114 Sgr,2453169.000,89.00,3,13.60,0.09,V
V5114 Sgr,2453173.000,93.00,11,13.52,0.02,V
V5114 Sgr,2453177.000,97.00,12,13.87,0.02,V
V5114 Sgr,2453181.000,101.00,1,13.70,0.15,V
V5114 Sgr,2453185.000,105.00,1,13.90,0.15,V
V5114 Sgr,2453189.000,109.00,10,14.60,0.02,V
V5114 Sgr,2453193.000,113.00,11,14.27,0.03,V
V5114 Sgr,2453201.000,121.00,12,14.30,0.06,V
V5114 Sgr,2453205.000,125.00,20,14.35,0.02,V
V5114 Sgr,2453217.000,137.00,20,14.50,0.02,V
V5114 Sgr,2453221.000,141.00,10,14.90,0.02,V
V5114 Sgr,2453225.000,145.00,10,15.00,0.02,V
V5114 Sgr,2453237.000,157.00,10,15.70,0.02,V
V5114 Sgr,2453241.000,161.00,20,15.30,0.02,V
V5114 Sgr,2453245.000,165.00,10,15.20,0.02,V
V5114 Sgr,2453249.000,169.00,10,15.40,0.02,V
