#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V1187 Sco,2453219.750,0.75,10,9.91,0.02,V
V1187 Sco,2453222.750,3.75,2,9.80,0.11,V
V1187 Sco,2453223.250,4.25,12,9.79,0.02,V
V1187 Sco,2453223.750,4.75,2,9.90,0.11,V
V1187 Sco,2453224.250,5.25,1,9.90,0.15,V
V1187 Sco,2453224.750,5.75,13,10.05,0.04,V
V1187 Sco,2453225.500,6.50,13,10.50,0.02,V
V1187 Sco,2453226.500,7.50,16,10.69,0.04,V
V1187 Sco,2453227.500,8.50,14,10.95,0.04,V
V1187 Sco,2453228.500,9.50,23,11.17,0.02,V
V1187 Sco,2453229.500,10.50,1,11.30,0.15,V
V1187 Sco,2453230.500,11.50,2,11.65,0.11,V
V1187 Sco,2453231.500,12.50,1,11.60,0.15,V
V1187 Sco,2453232.500,13.50,25,11.83,0.02,V
V1187 Sco,2453233.500,14.50,2,11.75,0.11,V
V1187 Sco,2453235.500,16.50,2,12.40,0.21,V
V1187 Sco,2453237.500,18.50,21,12.34,0.02,V
V1187 Sco,2453238.500,19.50,11,12.53,0.03,V
V1187 Sco,2453239.500,20.50,10,12.60,0.02,V
V1187 Sco,2453240.500,21.50,10,12.70,0.04,V
V1187 Sco,2453241.500,22.50,11,12.82,0.02,V
V1187 Sco,2453243.500,24.50,10,12.90,0.04,V
V1187 Sco,2453245.500,26.50,10,13.00,0.02,V
V1187 Sco,2453246.500,27.50,30,13.13,0.02,V
V1187 Sco,2453247.500,28.50,20,13.23,0.02,V
V1187 Sco,2453251.000,32.00,20,13.40,0.02,V
V1187 Sco,2453255.000,36.00,31,13.57,0.02,V
V1187 Sco,2453257.000,38.00,10,13.60,0.02,V
V1187 Sco,2453259.000,40.00,10,13.70,0.02,V
V1187 Sco,2453261.000,42.00,10,13.77,0.02,V
V1187 Sco,2453263.000,44.00,10,13.79,0.02,V
V1187 Sco,2453265.000,46.00,10,13.90,0.04,V
V1187 Sco,2453267.000,48.00,10,13.87,0.04,V
V1187 Sco,2453272.000,53.00,10,14.31,0.02,V
V1187 Sco,2453276.000,57.00,10,14.43,0.04,V
V1187 Sco,2453280.000,61.00,10,14.48,0.02,V
