#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
IM Nor,e,2452290.09300,V,,8.800,0.15,AAVSO
IM Nor,e,2452290.30000,V,,8.200,0.15,AAVSO
IM Nor,e,2452291.10100,V,,8.700,0.15,AAVSO
IM Nor,e,2452292.67500,V,,8.800,0.15,AAVSO
IM Nor,e,2452293.30400,V,,8.700,0.15,AAVSO
IM Nor,e,2452293.58000,V,,9.000,0.15,AAVSO
IM Nor,e,2452293.58000,V,,9.000,0.15,AAVSO
IM Nor,e,2452293.77400,V,,8.900,0.15,AAVSO
IM Nor,e,2452295.30200,V,,9.000,0.15,AAVSO
IM Nor,e,2452296.11700,V,,9.000,0.15,AAVSO
IM Nor,e,2452297.28900,V,,9.200,0.15,AAVSO
IM Nor,e,2452299.15100,V,,9.200,0.15,AAVSO
IM Nor,e,2452299.32400,V,,9.100,0.15,AAVSO
IM Nor,e,2452300.10800,V,,9.000,0.15,AAVSO
IM Nor,e,2452300.30100,V,,9.200,0.15,AAVSO
IM Nor,e,2452300.82400,V,,8.500,0.15,AAVSO
IM Nor,e,2452301.09200,V,,9.200,0.15,AAVSO
IM Nor,e,2452301.30000,V,,9.000,0.15,AAVSO
IM Nor,e,2452301.77000,V,,9.200,0.15,AAVSO
IM Nor,e,2452301.78000,V,,9.200,0.15,AAVSO
IM Nor,e,2452302.12400,V,,9.300,0.15,AAVSO
IM Nor,e,2452302.31600,V,,9.200,0.15,AAVSO
IM Nor,e,2452302.78500,V,,9.200,0.15,AAVSO
IM Nor,e,2452303.15300,V,,9.200,0.15,AAVSO
IM Nor,e,2452305.83300,V,,9.200,0.15,AAVSO
IM Nor,e,2452306.11400,V,,9.500,0.15,AAVSO
IM Nor,e,2452306.21900,V,,8.900,0.15,AAVSO
IM Nor,e,2452307.15100,V,,9.700,0.15,AAVSO
IM Nor,e,2452308.12200,V,,9.700,0.15,AAVSO
IM Nor,e,2452308.48700,V,,9.200,0.15,AAVSO
IM Nor,e,2452308.48700,V,,9.200,0.15,AAVSO
IM Nor,e,2452308.77300,V,,9.300,0.15,AAVSO
IM Nor,e,2452309.09000,V,,9.500,0.15,AAVSO
IM Nor,e,2452310.26000,V,,8.800,0.15,AAVSO
IM Nor,e,2452310.78100,V,,9.200,0.15,AAVSO
IM Nor,e,2452310.79200,V,,9.300,0.15,AAVSO
IM Nor,e,2452311.08800,V,,9.700,0.15,AAVSO
IM Nor,e,2452311.33000,V,,9.700,0.15,AAVSO
IM Nor,e,2452311.80100,V,,9.400,0.15,AAVSO
IM Nor,e,2452311.80400,V,,9.400,0.15,AAVSO
IM Nor,e,2452312.09100,V,,9.800,0.15,AAVSO
IM Nor,e,2452312.26900,V,,9.500,0.15,AAVSO
IM Nor,e,2452312.33000,V,,9.800,0.15,AAVSO
IM Nor,e,2452313.14800,V,,9.700,0.15,AAVSO
IM Nor,e,2452313.33100,V,,9.900,0.15,AAVSO
IM Nor,e,2452314.10500,V,,9.800,0.15,AAVSO
IM Nor,e,2452314.32800,V,,10.100,0.15,AAVSO
IM Nor,e,2452315.09900,V,,9.800,0.15,AAVSO
IM Nor,e,2452315.33500,V,,10.000,0.15,AAVSO
IM Nor,e,2452315.56600,V,,9.600,0.15,AAVSO
IM Nor,e,2452315.56600,V,,9.600,0.15,AAVSO
IM Nor,e,2452315.74700,V,,9.800,0.15,AAVSO
IM Nor,e,2452315.79300,V,,10.200,0.15,AAVSO
IM Nor,e,2452316.35400,V,,10.000,0.15,AAVSO
IM Nor,e,2452316.68400,V,,10.300,0.15,AAVSO
IM Nor,e,2452316.80100,V,,10.300,0.15,AAVSO
IM Nor,e,2452317.26700,V,,9.800,0.15,AAVSO
IM Nor,e,2452317.32400,V,,10.200,0.15,AAVSO
IM Nor,e,2452317.56000,V,,9.700,0.15,AAVSO
IM Nor,e,2452317.56000,V,,9.700,0.15,AAVSO
IM Nor,e,2452317.79000,V,,9.900,0.15,AAVSO
IM Nor,e,2452318.26300,V,,9.700,0.15,AAVSO
IM Nor,e,2452318.97100,V,,10.000,0.15,AAVSO
IM Nor,e,2452319.09400,V,,10.100,0.15,AAVSO
IM Nor,e,2452319.25700,V,,9.700,0.15,AAVSO
IM Nor,e,2452319.33300,V,,10.300,0.15,AAVSO
IM Nor,e,2452320.09900,V,,10.000,0.15,AAVSO
IM Nor,e,2452320.17700,V,,9.700,0.15,AAVSO
IM Nor,e,2452320.78000,V,,9.700,0.15,AAVSO
IM Nor,e,2452320.81300,V,,9.700,0.15,AAVSO
IM Nor,e,2452321.08400,V,,9.800,0.15,AAVSO
IM Nor,e,2452321.33000,V,,10.300,0.15,AAVSO
IM Nor,e,2452322.25700,V,,10.100,0.15,AAVSO
IM Nor,e,2452322.29000,V,,10.300,0.15,AAVSO
IM Nor,e,2452323.08800,V,,9.700,0.15,AAVSO
IM Nor,e,2452323.25400,V,,10.100,0.15,AAVSO
IM Nor,e,2452323.29500,V,,10.000,0.15,AAVSO
IM Nor,e,2452324.08500,V,,9.600,0.15,AAVSO
IM Nor,e,2452325.25700,V,,10.100,0.15,AAVSO
IM Nor,e,2452325.29100,V,,10.200,0.15,AAVSO
IM Nor,e,2452325.71200,V,,9.900,0.15,AAVSO
IM Nor,e,2452326.12900,V,,10.000,0.15,AAVSO
IM Nor,e,2452326.27600,V,,9.900,0.15,AAVSO
IM Nor,e,2452326.31600,V,,10.100,0.15,AAVSO
IM Nor,e,2452326.98800,V,,10.000,0.15,AAVSO
IM Nor,e,2452327.15800,V,,9.900,0.15,AAVSO
IM Nor,e,2452327.31100,V,,10.000,0.15,AAVSO
IM Nor,e,2452328.28800,V,,10.400,0.15,AAVSO
IM Nor,e,2452328.82300,V,,10.500,0.15,AAVSO
IM Nor,e,2452329.08500,V,,10.400,0.15,AAVSO
IM Nor,e,2452329.29200,V,,10.600,0.15,AAVSO
IM Nor,e,2452330.12400,V,,10.400,0.15,AAVSO
IM Nor,e,2452330.28800,V,,10.500,0.15,AAVSO
IM Nor,e,2452330.55100,V,,9.800,0.15,AAVSO
IM Nor,e,2452330.55100,V,,9.800,0.15,AAVSO
IM Nor,e,2452330.80400,V,,10.400,0.15,AAVSO
IM Nor,e,2452331.29200,V,,10.600,0.15,AAVSO
IM Nor,e,2452331.82100,V,,10.400,0.15,AAVSO
IM Nor,e,2452332.19900,V,,10.700,0.15,AAVSO
IM Nor,e,2452332.29500,V,,10.700,0.15,AAVSO
