2429117.54,13.5,B,1,Sonneberg Observatory,Johnson-Cousins
2429134.55,11,B,0,Sonneberg Observatory,Johnson-Cousins
2429144.46,13,B,1,Sonneberg Observatory,Johnson-Cousins
2429162.57,14.4,B,0,Sonneberg Observatory,Johnson-Cousins
2429162.6,14.5,B,0,Sonneberg Observatory,Johnson-Cousins
2429163.53,14,B,0,Sonneberg Observatory,Johnson-Cousins
2429163.55,13.9,B,0,Sonneberg Observatory,Johnson-Cousins
2429165.53,13.9,B,0,Sonneberg Observatory,Johnson-Cousins
2429165.55,13.9,B,1,Sonneberg Observatory,Johnson-Cousins
2429167.56,14.8,B,0,Sonneberg Observatory,Johnson-Cousins
2429168.55,14.7,B,0,Sonneberg Observatory,Johnson-Cousins
2439557.28,10.8,B,0,Sonneberg Observatory,Johnson-Cousins
2439557.31,10.9,B,0,Sonneberg Observatory,Johnson-Cousins
2439583.32,14.5,B,1,Sonneberg Observatory,Johnson-Cousins
