#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
V2487 Oph,e,2450982.66300,V,,10.500,0.15,AAVSO
V2487 Oph,e,2450983.12000,V,,10.700,0.15,AAVSO
V2487 Oph,e,2450983.28900,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450983.28900,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450983.49000,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450983.49300,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450983.49700,V,,10.500,0.15,AAVSO
V2487 Oph,e,2450983.64200,V,,10.700,0.15,AAVSO
V2487 Oph,e,2450984.25300,V,,10.700,0.15,AAVSO
V2487 Oph,e,2450984.31500,V,,11.300,0.15,AAVSO
V2487 Oph,e,2450984.31500,V,,11.300,0.15,AAVSO
V2487 Oph,e,2450984.38800,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450984.43000,V,,11.000,0.15,AAVSO
V2487 Oph,e,2450984.51500,V,,10.800,0.15,AAVSO
V2487 Oph,e,2450984.52000,V,,10.800,0.15,AAVSO
V2487 Oph,e,2450984.68100,V,,11.000,0.15,AAVSO
V2487 Oph,e,2450984.71300,V,,10.900,0.15,AAVSO
V2487 Oph,e,2450984.81700,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450984.97600,V,,10.700,0.15,AAVSO
V2487 Oph,e,2450985.01300,V,,10.700,0.15,AAVSO
V2487 Oph,e,2450985.23800,V,,11.200,0.15,AAVSO
V2487 Oph,e,2450985.23800,V,,11.200,0.15,AAVSO
V2487 Oph,e,2450985.33300,V,,10.600,0.15,AAVSO
V2487 Oph,e,2450985.50000,V,,10.500,0.15,AAVSO
V2487 Oph,e,2450985.50900,V,,11.200,0.15,AAVSO
V2487 Oph,e,2450985.51000,V,,11.200,0.15,AAVSO
V2487 Oph,e,2450985.62500,V,,11.000,0.15,AAVSO
V2487 Oph,e,2450985.68400,V,,11.100,0.15,AAVSO
V2487 Oph,e,2450985.71100,V,,11.200,0.15,AAVSO
V2487 Oph,e,2450986.29000,V,,11.900,0.15,AAVSO
V2487 Oph,e,2450986.29000,V,,11.900,0.15,AAVSO
V2487 Oph,e,2450986.33100,V,,12.400,0.15,AAVSO
V2487 Oph,e,2450986.43500,V,,11.200,0.15,AAVSO
V2487 Oph,e,2450986.45100,V,,12.000,0.15,AAVSO
V2487 Oph,e,2450986.46200,V,,11.300,0.15,AAVSO
V2487 Oph,e,2450986.71200,V,,12.000,0.15,AAVSO
V2487 Oph,e,2450987.22800,V,,12.300,0.15,AAVSO
V2487 Oph,e,2450987.22800,V,,12.300,0.15,AAVSO
V2487 Oph,e,2450987.34200,V,,12.400,0.15,AAVSO
V2487 Oph,e,2450987.40800,V,,11.600,0.15,AAVSO
V2487 Oph,e,2450987.50000,V,,11.900,0.15,AAVSO
V2487 Oph,e,2450987.51000,V,,12.800,0.15,AAVSO
V2487 Oph,e,2450987.51200,V,,12.800,0.15,AAVSO
V2487 Oph,e,2450988.24600,V,,13.000,0.15,AAVSO
V2487 Oph,e,2450988.24600,V,,13.000,0.15,AAVSO
V2487 Oph,e,2450988.33100,V,,12.900,0.15,AAVSO
V2487 Oph,e,2450988.72400,V,,12.400,0.15,AAVSO
V2487 Oph,e,2450988.73300,V,,12.100,0.15,AAVSO
V2487 Oph,e,2450989.70100,V,,12.600,0.15,AAVSO
V2487 Oph,e,2450989.80000,V,,12.900,0.15,AAVSO
V2487 Oph,e,2450990.32600,V,,13.200,0.15,AAVSO
V2487 Oph,e,2450990.40000,V,,13.500,0.15,AAVSO
V2487 Oph,e,2450990.50000,V,,13.000,0.15,AAVSO
V2487 Oph,e,2450990.80000,V,,13.000,0.15,AAVSO
V2487 Oph,e,2450990.91900,V,,13.300,0.15,AAVSO
V2487 Oph,e,2450991.28600,V,,13.500,0.15,AAVSO
