#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V5116 Sgr,2453556.250,0.25,1,8.30,0.15,V
V5116 Sgr,2453556.750,0.75,23,7.57,0.04,V
V5116 Sgr,2453557.250,1.25,15,8.50,0.05,V
V5116 Sgr,2453557.750,1.75,19,8.27,0.03,V
V5116 Sgr,2453558.250,2.25,6,8.55,0.07,V
V5116 Sgr,2453558.750,2.75,4,8.78,0.11,V
V5116 Sgr,2453559.250,3.25,5,8.28,0.08,V
V5116 Sgr,2453559.750,3.75,4,8.38,0.08,V
V5116 Sgr,2453560.250,4.25,5,9.50,0.09,V
V5116 Sgr,2453560.750,4.75,8,9.26,0.21,V
V5116 Sgr,2453561.250,5.25,2,9.40,0.11,V
V5116 Sgr,2453561.750,5.75,18,9.47,0.05,V
V5116 Sgr,2453562.250,6.25,9,9.19,0.08,V
V5116 Sgr,2453562.750,6.75,6,9.42,0.06,V
V5116 Sgr,2453563.250,7.25,17,9.25,0.05,V
V5116 Sgr,2453563.750,7.75,4,9.25,0.08,V
V5116 Sgr,2453564.250,8.25,6,9.12,0.10,V
V5116 Sgr,2453564.750,8.75,2,9.60,0.11,V
V5116 Sgr,2453565.250,9.25,17,9.62,0.07,V
V5116 Sgr,2453565.750,9.75,2,9.60,0.11,V
V5116 Sgr,2453566.250,10.25,5,9.40,0.11,V
V5116 Sgr,2453566.750,10.75,5,9.26,0.08,V
V5116 Sgr,2453567.250,11.25,15,9.02,0.03,V
V5116 Sgr,2453567.750,11.75,2,9.50,0.11,V
V5116 Sgr,2453568.250,12.25,3,9.50,0.09,V
V5116 Sgr,2453568.750,12.75,1,10.20,0.15,V
V5116 Sgr,2453569.250,13.25,2,10.45,0.18,V
V5116 Sgr,2453570.500,14.50,2,10.45,0.18,V
V5116 Sgr,2453572.500,16.50,2,10.40,0.11,V
V5116 Sgr,2453573.500,17.50,13,9.99,0.02,V
V5116 Sgr,2453574.500,18.50,6,9.98,0.13,V
V5116 Sgr,2453575.500,19.50,3,10.17,0.15,V
V5116 Sgr,2453576.500,20.50,5,10.38,0.08,V
V5116 Sgr,2453577.500,21.50,6,10.52,0.06,V
V5116 Sgr,2453578.500,22.50,4,10.30,0.09,V
V5116 Sgr,2453579.500,23.50,19,10.49,0.02,V
V5116 Sgr,2453580.500,24.50,8,10.44,0.05,V
V5116 Sgr,2453581.500,25.50,9,10.62,0.06,V
V5116 Sgr,2453582.500,26.50,7,10.56,0.06,V
V5116 Sgr,2453583.500,27.50,7,10.61,0.06,V
V5116 Sgr,2453584.500,28.50,7,10.77,0.06,V
V5116 Sgr,2453585.500,29.50,7,10.86,0.06,V
V5116 Sgr,2453586.500,30.50,6,10.80,0.08,V
V5116 Sgr,2453587.500,31.50,9,10.78,0.05,V
V5116 Sgr,2453588.500,32.50,9,10.86,0.06,V
V5116 Sgr,2453589.500,33.50,15,11.03,0.05,V
V5116 Sgr,2453590.500,34.50,6,11.00,0.11,V
V5116 Sgr,2453591.500,35.50,5,10.94,0.08,V
V5116 Sgr,2453592.500,36.50,5,11.14,0.15,V
V5116 Sgr,2453593.500,37.50,2,11.00,0.11,V
V5116 Sgr,2453594.500,38.50,17,11.09,0.03,V
V5116 Sgr,2453595.500,39.50,6,11.02,0.08,V
V5116 Sgr,2453596.500,40.50,2,11.10,0.11,V
V5116 Sgr,2453597.500,41.50,2,11.20,0.11,V
V5116 Sgr,2453602.000,46.00,13,11.53,0.05,V
V5116 Sgr,2453606.000,50.00,28,11.28,0.04,V
V5116 Sgr,2453610.000,54.00,15,11.28,0.07,V
V5116 Sgr,2453614.000,58.00,14,11.51,0.06,V
V5116 Sgr,2453618.000,62.00,11,11.46,0.06,V
V5116 Sgr,2453622.000,66.00,12,11.66,0.07,V
V5116 Sgr,2453626.000,70.00,3,11.47,0.20,V
V5116 Sgr,2453630.000,74.00,2,11.75,0.25,V
V5116 Sgr,2453636.000,80.00,19,12.06,0.11,V
V5116 Sgr,2453644.000,88.00,33,11.87,0.06,V
V5116 Sgr,2453652.000,96.00,12,12.59,0.06,V
V5116 Sgr,2453668.000,112.00,12,12.73,0.08,V
