#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
V745 Sco,e,2447740.86300,V,,10.600,0.15,AAVSO
V745 Sco,e,2447740.88800,V,,10.600,0.15,AAVSO
V745 Sco,e,2447742.04000,V,,11.600,0.15,AAVSO
V745 Sco,e,2447742.65200,V,,12.200,0.15,AAVSO
V745 Sco,e,2447742.68000,V,,11.000,0.15,AAVSO
V745 Sco,e,2447743.04000,V,,11.900,0.15,AAVSO
V745 Sco,e,2447743.60000,V,,11.000,0.15,AAVSO
V745 Sco,e,2447743.97100,V,,13.500,0.15,AAVSO
V745 Sco,e,2447744.85900,V,,12.500,0.15,AAVSO
V745 Sco,e,2447745.20000,V,,11.500,0.15,AAVSO
V745 Sco,e,2447745.73000,V,,11.300,0.15,AAVSO
V745 Sco,e,2447747.20000,V,,12.000,0.15,AAVSO
V745 Sco,e,2447747.72000,V,,12.200,0.15,AAVSO
V745 Sco,e,2447764.60000,V,,13.500,0.15,AAVSO
V745 Sco,q,2453185.47000,R,,15.220,0.02,SMARTS 1.0-m
V745 Sco,q,2453185.47500,R,,15.280,0.03,SMARTS 1.0-m
V745 Sco,q,2453185.47600,R,,15.190,0.02,SMARTS 1.0-m
V745 Sco,q,2453185.47800,R,,15.180,0.02,SMARTS 1.0-m
V745 Sco,q,2453185.48500,R,,15.160,0.02,SMARTS 1.0-m
V745 Sco,q,2453185.48700,R,,15.100,0.02,SMARTS 1.0-m
V745 Sco,q,2453185.51800,R,,15.210,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.52200,R,,15.160,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.52500,R,,15.110,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.52700,R,,15.160,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.53000,R,,15.190,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.53300,R,,15.120,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.53500,R,,15.130,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.53700,R,,15.090,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.54000,R,,15.070,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.54200,R,,15.110,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.54400,R,,15.140,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.54700,R,,15.160,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.54900,R,,15.170,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.55100,R,,15.190,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.55600,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.55900,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.56100,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.56400,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.56800,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.57100,R,,15.170,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.57300,R,,15.140,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.57500,R,,15.180,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.57800,R,,15.160,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.58000,R,,15.030,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.58400,R,,15.130,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.58600,R,,15.110,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.58800,R,,15.160,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.59100,R,,15.150,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.59300,R,,15.120,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.59500,R,,15.150,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.59800,R,,15.180,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.60000,R,,15.170,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.60200,R,,15.150,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.60500,R,,15.170,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.60700,R,,15.280,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.60700,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.61000,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.61200,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.61500,R,,15.200,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.61700,R,,15.130,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.61900,R,,15.120,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.62200,R,,15.090,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.62400,R,,15.140,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.62600,R,,15.190,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.62900,R,,15.190,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.63100,R,,15.160,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.63400,R,,15.210,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.63700,R,,15.190,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.63900,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.64100,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.64400,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.64600,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.64800,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.65100,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.65300,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.65500,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.65800,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.66100,R,,15.390,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.66400,R,,15.350,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.66600,R,,15.330,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.66800,R,,15.340,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.67100,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.67300,R,,15.280,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.67500,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.67800,R,,15.250,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.68000,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.68200,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.68500,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.68800,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.69200,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.69500,R,,15.280,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.69700,R,,15.220,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.69900,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.70200,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.70400,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.70600,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.71600,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.71800,R,,15.280,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.72100,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.72300,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.72500,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.72800,R,,15.330,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.73000,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.73200,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.73500,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.73700,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.74000,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.74200,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.74500,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.74700,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.74900,R,,15.330,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.75200,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.75400,R,,15.210,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.75600,R,,15.220,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.75900,R,,15.230,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.76100,R,,15.250,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.76400,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.76600,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.76900,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.77100,R,,15.260,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.77300,R,,15.270,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.77600,R,,15.280,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.77800,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.78000,R,,15.310,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.78300,R,,15.290,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.78500,R,,15.300,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.85500,R,,15.340,0.01,SMARTS 1.0-m
V745 Sco,q,2453185.86400,R,,15.420,0.01,SMARTS 1.0-m
