#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V4743 Sgr,2452536.750,0.75,2,5.20,0.21,V
V4743 Sgr,2452537.750,1.75,1,5.00,0.15,V
V4743 Sgr,2452538.750,2.75,19,5.89,0.04,V
V4743 Sgr,2452539.250,3.25,10,5.91,0.06,V
V4743 Sgr,2452539.750,3.75,58,6.13,0.03,V
V4743 Sgr,2452540.250,4.25,26,6.43,0.03,V
V4743 Sgr,2452540.750,4.75,36,6.31,0.02,V
V4743 Sgr,2452541.250,5.25,22,6.35,0.03,V
V4743 Sgr,2452541.750,5.75,41,6.45,0.02,V
V4743 Sgr,2452542.250,6.25,23,6.86,0.05,V
V4743 Sgr,2452542.750,6.75,29,6.59,0.04,V
V4743 Sgr,2452543.250,7.25,22,6.68,0.03,V
V4743 Sgr,2452543.750,7.75,28,6.77,0.02,V
V4743 Sgr,2452544.250,8.25,21,7.31,0.07,V
V4743 Sgr,2452544.750,8.75,17,7.16,0.07,V
V4743 Sgr,2452545.250,9.25,18,6.99,0.08,V
V4743 Sgr,2452545.750,9.75,19,7.09,0.07,V
V4743 Sgr,2452546.250,10.25,24,7.44,0.07,V
V4743 Sgr,2452546.750,10.75,34,7.47,0.05,V
V4743 Sgr,2452547.250,11.25,35,7.86,0.04,V
V4743 Sgr,2452547.750,11.75,18,7.58,0.08,V
V4743 Sgr,2452548.250,12.25,21,7.89,0.06,V
V4743 Sgr,2452548.750,12.75,19,7.85,0.06,V
V4743 Sgr,2452549.250,13.25,20,7.89,0.07,V
V4743 Sgr,2452549.750,13.75,12,7.93,0.07,V
V4743 Sgr,2452550.500,14.50,21,8.06,0.06,V
V4743 Sgr,2452551.500,15.50,17,8.10,0.04,V
V4743 Sgr,2452552.500,16.50,21,8.33,0.05,V
V4743 Sgr,2452553.500,17.50,33,8.40,0.04,V
V4743 Sgr,2452554.500,18.50,30,8.18,0.04,V
V4743 Sgr,2452555.500,19.50,22,8.58,0.04,V
V4743 Sgr,2452556.500,20.50,18,8.44,0.05,V
V4743 Sgr,2452557.500,21.50,13,8.71,0.04,V
V4743 Sgr,2452558.500,22.50,6,8.62,0.06,V
V4743 Sgr,2452559.500,23.50,4,8.83,0.08,V
V4743 Sgr,2452560.500,24.50,5,8.60,0.15,V
V4743 Sgr,2452561.500,25.50,10,8.85,0.04,V
V4743 Sgr,2452562.500,26.50,8,8.83,0.05,V
V4743 Sgr,2452563.500,27.50,3,8.87,0.09,V
V4743 Sgr,2452564.500,28.50,3,8.83,0.09,V
V4743 Sgr,2452565.500,29.50,16,9.01,0.03,V
V4743 Sgr,2452566.500,30.50,6,9.13,0.06,V
V4743 Sgr,2452567.500,31.50,3,9.40,0.09,V
V4743 Sgr,2452568.500,32.50,14,9.09,0.02,V
V4743 Sgr,2452569.500,33.50,3,9.10,0.09,V
V4743 Sgr,2452571.000,35.00,7,9.20,0.06,V
V4743 Sgr,2452573.000,37.00,13,9.08,0.06,V
V4743 Sgr,2452575.000,39.00,12,9.34,0.07,V
V4743 Sgr,2452577.000,41.00,15,9.27,0.05,V
V4743 Sgr,2452579.000,43.00,2,9.40,0.11,V
V4743 Sgr,2452581.000,45.00,4,9.40,0.08,V
V4743 Sgr,2452583.000,47.00,5,9.34,0.13,V
V4743 Sgr,2452585.000,49.00,2,9.50,0.11,V
V4743 Sgr,2452589.000,53.00,5,9.56,0.07,V
V4743 Sgr,2452591.000,55.00,4,9.60,0.15,V
V4743 Sgr,2452593.000,57.00,2,9.65,0.18,V
V4743 Sgr,2452595.000,59.00,2,9.80,0.11,V
V4743 Sgr,2452597.000,61.00,2,9.70,0.11,V
V4743 Sgr,2452599.000,63.00,2,9.75,0.11,V
V4743 Sgr,2452603.000,67.00,1,10.10,0.15,V
V4743 Sgr,2452605.000,69.00,2,9.90,0.11,V
V4743 Sgr,2452607.000,71.00,1,9.70,0.15,V
V4743 Sgr,2452611.000,75.00,1,10.00,0.15,V
V4743 Sgr,2452708.000,172.00,1,10.90,0.15,V
V4743 Sgr,2452724.000,188.00,40,11.33,0.04,V
V4743 Sgr,2452740.000,204.00,237,11.55,0.02,V
V4743 Sgr,2452756.000,220.00,36,11.49,0.03,V
V4743 Sgr,2452772.000,236.00,18,11.50,0.09,V
V4743 Sgr,2452788.000,252.00,14,11.17,0.04,V
V4743 Sgr,2452804.000,268.00,7,11.43,0.07,V
V4743 Sgr,2452820.000,284.00,13,11.45,0.04,V
V4743 Sgr,2452836.000,300.00,7,11.57,0.07,V
V4743 Sgr,2452852.000,316.00,34,11.99,0.06,V
V4743 Sgr,2452868.000,332.00,4,11.80,0.08,V
V4743 Sgr,2452884.000,348.00,7,12.06,0.06,V
V4743 Sgr,2452900.000,364.00,13,12.18,0.03,V
V4743 Sgr,2452916.000,380.00,3,12.37,0.09,V
V4743 Sgr,2452932.000,396.00,7,12.33,0.07,V
V4743 Sgr,2452948.000,412.00,3,12.50,0.09,V
V4743 Sgr,2453092.000,556.00,10,13.44,0.03,V
V4743 Sgr,2453172.000,636.00,3,13.60,0.12,V
V4743 Sgr,2453188.000,652.00,2,13.70,0.11,V
V4743 Sgr,2453204.000,668.00,1,13.70,0.15,V
V4743 Sgr,2453236.000,700.00,1,14.20,0.15,V
