#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
T CrB,2431861.500,1.50,4,3.50,0.17,V
T CrB,2431862.500,2.50,9,3.61,0.07,V
T CrB,2431863.500,3.50,16,4.21,0.08,V
T CrB,2431864.500,4.50,3,4.63,0.10,V
T CrB,2431865.500,5.50,3,5.23,0.14,V
T CrB,2431866.500,6.50,6,5.68,0.08,V
T CrB,2431867.500,7.50,7,6.01,0.06,V
T CrB,2431868.500,8.50,4,6.25,0.08,V
T CrB,2431869.500,9.50,4,6.93,0.18,V
T CrB,2431870.500,10.50,4,7.35,0.20,V
T CrB,2431871.500,11.50,2,7.30,0.35,V
T CrB,2431872.500,12.50,3,8.00,0.09,V
T CrB,2431873.500,13.50,4,8.15,0.11,V
T CrB,2431876.000,16.00,6,8.68,0.10,V
T CrB,2431878.000,18.00,4,8.80,0.08,V
T CrB,2431880.000,20.00,7,8.99,0.10,V
T CrB,2431882.000,22.00,9,9.19,0.10,V
T CrB,2431884.000,24.00,6,9.32,0.10,V
T CrB,2431886.000,26.00,3,9.33,0.09,V
T CrB,2431888.000,28.00,4,9.53,0.11,V
T CrB,2431890.000,30.00,6,9.72,0.06,V
T CrB,2431892.000,32.00,3,9.77,0.09,V
T CrB,2431894.000,34.00,3,9.73,0.09,V
T CrB,2431896.000,36.00,2,9.75,0.11,V
T CrB,2431898.000,38.00,3,9.70,0.09,V
T CrB,2431900.000,40.00,4,9.45,0.13,V
T CrB,2431902.000,42.00,4,9.68,0.08,V
T CrB,2431904.000,44.00,2,9.90,0.11,V
T CrB,2431906.000,46.00,1,9.60,0.15,V
T CrB,2431908.000,48.00,6,9.57,0.09,V
T CrB,2431910.000,50.00,6,9.75,0.06,V
T CrB,2431912.000,52.00,6,9.68,0.06,V
T CrB,2431914.000,54.00,3,9.90,0.09,V
T CrB,2431916.000,56.00,1,9.90,0.15,V
T CrB,2431918.000,58.00,7,9.71,0.09,V
T CrB,2431920.000,60.00,3,9.80,0.09,V
T CrB,2431922.000,62.00,5,9.74,0.07,V
T CrB,2431924.000,64.00,2,9.70,0.11,V
T CrB,2431927.000,67.00,5,9.76,0.07,V
T CrB,2431931.000,71.00,14,9.85,0.04,V
T CrB,2431935.000,75.00,11,9.90,0.04,V
T CrB,2431939.000,79.00,16,9.94,0.04,V
T CrB,2431943.000,83.00,13,9.82,0.04,V
T CrB,2431947.000,87.00,11,9.85,0.06,V
T CrB,2431951.000,91.00,15,9.80,0.04,V
T CrB,2431955.000,95.00,2,9.90,0.11,V
T CrB,2431959.000,99.00,6,9.73,0.06,V
T CrB,2431963.000,103.00,20,9.75,0.04,V
T CrB,2431967.000,107.00,10,9.76,0.08,V
T CrB,2431971.000,111.00,12,9.51,0.09,V
T CrB,2431975.000,115.00,11,8.71,0.10,V
T CrB,2431979.000,119.00,16,8.46,0.04,V
T CrB,2431983.000,123.00,12,8.48,0.05,V
T CrB,2431987.000,127.00,10,8.30,0.07,V
T CrB,2431991.000,131.00,13,8.40,0.09,V
T CrB,2431995.000,135.00,27,8.36,0.05,V
T CrB,2431999.000,139.00,17,8.33,0.06,V
T CrB,2432003.000,143.00,26,8.09,0.03,V
T CrB,2432007.000,147.00,15,8.09,0.04,V
T CrB,2432011.000,151.00,9,8.22,0.08,V
T CrB,2432015.000,155.00,9,8.13,0.05,V
T CrB,2432019.000,159.00,25,8.01,0.03,V
T CrB,2432023.000,163.00,17,8.04,0.03,V
T CrB,2432027.000,167.00,25,8.11,0.04,V
T CrB,2432031.000,171.00,25,8.16,0.04,V
T CrB,2432035.000,175.00,10,8.10,0.05,V
T CrB,2432039.000,179.00,15,8.07,0.06,V
T CrB,2432043.000,183.00,7,8.47,0.07,V
T CrB,2432047.000,187.00,12,8.18,0.06,V
T CrB,2432051.000,191.00,19,8.16,0.06,V
T CrB,2432055.000,195.00,12,8.35,0.05,V
T CrB,2432059.000,199.00,19,8.70,0.03,V
T CrB,2432063.000,203.00,18,8.67,0.06,V
T CrB,2432067.000,207.00,26,8.81,0.03,V
T CrB,2432071.000,211.00,12,9.33,0.07,V
T CrB,2432075.000,215.00,4,9.15,0.09,V
T CrB,2432079.000,219.00,15,9.32,0.06,V
T CrB,2432083.000,223.00,19,9.47,0.04,V
T CrB,2432087.000,227.00,8,9.36,0.07,V
T CrB,2432091.000,231.00,24,9.50,0.03,V
T CrB,2432095.000,235.00,9,9.48,0.05,V
T CrB,2432099.000,239.00,11,9.50,0.07,V
T CrB,2432109.000,249.00,21,9.41,0.08,V
T CrB,2432125.000,265.00,15,9.45,0.06,V
T CrB,2432141.000,281.00,24,9.53,0.04,V
T CrB,2432157.000,297.00,1,9.40,0.15,V
T CrB,2432173.000,313.00,8,9.58,0.05,V
T CrB,2432189.000,329.00,4,9.63,0.08,V
T CrB,2432205.000,345.00,2,9.75,0.11,V
T CrB,2432221.000,361.00,3,9.60,0.09,V
T CrB,2432237.000,377.00,3,9.57,0.09,V
T CrB,2432253.000,393.00,3,9.73,0.09,V
T CrB,2432269.000,409.00,9,9.77,0.05,V
T CrB,2432285.000,425.00,10,9.80,0.04,V
T CrB,2432301.000,441.00,21,9.81,0.03,V
T CrB,2432317.000,457.00,21,9.77,0.03,V
T CrB,2432333.000,473.00,20,9.86,0.03,V
T CrB,2432349.000,489.00,27,9.86,0.03,V
T CrB,2432365.000,505.00,26,9.81,0.03,V
T CrB,2432381.000,521.00,33,9.81,0.03,V
T CrB,2432397.000,537.00,36,9.80,0.02,V
