#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V4742 Sgr,2452532.750,0.75,1,8.50,0.15,V
V4742 Sgr,2452533.750,1.75,15,8.10,0.02,V
V4742 Sgr,2452534.250,2.25,2,7.85,0.11,V
V4742 Sgr,2452534.750,2.75,26,8.16,0.05,V
V4742 Sgr,2452535.250,3.25,7,8.57,0.07,V
V4742 Sgr,2452535.750,3.75,29,8.29,0.03,V
V4742 Sgr,2452536.250,4.25,5,8.86,0.07,V
V4742 Sgr,2452536.750,4.75,3,8.83,0.09,V
V4742 Sgr,2452537.250,5.25,3,8.43,0.15,V
V4742 Sgr,2452537.750,5.75,5,8.74,0.12,V
V4742 Sgr,2452538.250,6.25,1,9.00,0.15,V
V4742 Sgr,2452538.750,6.75,18,9.07,0.03,V
V4742 Sgr,2452539.250,7.25,5,8.86,0.07,V
V4742 Sgr,2452539.750,7.75,1523,9.08,0.02,V
V4742 Sgr,2452540.250,8.25,304,9.10,0.02,V
V4742 Sgr,2452540.750,8.75,23,9.59,0.04,V
V4742 Sgr,2452541.250,9.25,5,9.44,0.07,V
V4742 Sgr,2452541.750,9.75,26,9.28,0.04,V
V4742 Sgr,2452542.250,10.25,5,9.36,0.07,V
V4742 Sgr,2452542.750,10.75,21,9.23,0.04,V
V4742 Sgr,2452543.250,11.25,4,9.78,0.16,V
V4742 Sgr,2452543.750,11.75,10,10.17,0.09,V
V4742 Sgr,2452544.250,12.25,4,10.20,0.08,V
V4742 Sgr,2452544.750,12.75,6,10.03,0.09,V
V4742 Sgr,2452545.250,13.25,4,9.85,0.16,V
V4742 Sgr,2452545.750,13.75,7,9.93,0.11,V
V4742 Sgr,2452546.250,14.25,3,10.20,0.12,V
V4742 Sgr,2452546.750,14.75,15,10.33,0.02,V
V4742 Sgr,2452547.250,15.25,7,10.37,0.06,V
V4742 Sgr,2452547.750,15.75,16,10.04,0.05,V
V4742 Sgr,2452548.250,16.25,2,10.30,0.28,V
V4742 Sgr,2452548.750,16.75,3,10.43,0.11,V
V4742 Sgr,2452549.250,17.25,2,10.50,0.14,V
V4742 Sgr,2452549.750,17.75,3,10.63,0.09,V
V4742 Sgr,2452550.250,18.25,3,10.60,0.09,V
V4742 Sgr,2452550.750,18.75,1,10.30,0.15,V
V4742 Sgr,2452551.250,19.25,1,10.40,0.15,V
V4742 Sgr,2452551.750,19.75,4,10.35,0.08,V
V4742 Sgr,2452552.250,20.25,4,10.68,0.18,V
V4742 Sgr,2452552.750,20.75,5,10.64,0.16,V
V4742 Sgr,2452553.250,21.25,2,10.00,0.11,V
V4742 Sgr,2452553.750,21.75,2,10.90,0.11,V
V4742 Sgr,2452554.250,22.25,4,10.90,0.08,V
V4742 Sgr,2452554.750,22.75,11,10.42,0.03,V
V4742 Sgr,2452555.250,23.25,2,10.60,0.11,V
V4742 Sgr,2452555.750,23.75,4,10.65,0.18,V
V4742 Sgr,2452556.750,24.75,2,11.20,0.14,V
V4742 Sgr,2452557.250,25.25,2,10.75,0.53,V
V4742 Sgr,2452557.750,25.75,1,11.20,0.15,V
V4742 Sgr,2452560.500,28.50,1,11.20,0.15,V
V4742 Sgr,2452561.500,29.50,2,11.35,0.11,V
V4742 Sgr,2452562.500,30.50,2,11.05,0.46,V
V4742 Sgr,2452565.500,33.50,11,11.30,0.05,V
V4742 Sgr,2452568.500,36.50,10,11.36,0.02,V
V4742 Sgr,2452572.500,40.50,1,11.80,0.15,V
V4742 Sgr,2452573.500,41.50,1,12.10,0.15,V
V4742 Sgr,2452575.500,43.50,2,12.00,0.11,V
V4742 Sgr,2452576.500,44.50,2,12.05,0.11,V
V4742 Sgr,2452577.500,45.50,2,11.95,0.11,V
V4742 Sgr,2452578.500,46.50,1,12.10,0.15,V
V4742 Sgr,2452581.500,49.50,1,12.30,0.15,V
V4742 Sgr,2452582.500,50.50,4,12.10,0.12,V
V4742 Sgr,2452583.500,51.50,1,12.20,0.15,V
V4742 Sgr,2452589.500,57.50,10,11.91,0.02,V
V4742 Sgr,2452592.500,60.50,1,12.00,0.15,V
V4742 Sgr,2452720.000,188.00,20,13.47,0.06,V
V4742 Sgr,2452736.000,204.00,40,13.75,0.02,V
V4742 Sgr,2452752.000,220.00,20,13.78,0.02,V
V4742 Sgr,2452768.000,236.00,2,13.75,0.18,V
V4742 Sgr,2452784.000,252.00,1,13.60,0.15,V
V4742 Sgr,2452800.000,268.00,1,13.90,0.15,V
V4742 Sgr,2452832.000,300.00,10,14.20,0.02,V
V4742 Sgr,2452848.000,316.00,6,14.25,0.06,V
V4742 Sgr,2452880.000,348.00,1,14.60,0.15,V
