#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V2214 Oph,2447247.500,1.00,1,11.00,0.15,V
V2214 Oph,2447262.250,16.25,1,8.50,0.15,V
V2214 Oph,2447270.250,24.25,1,10.00,0.15,V
V2214 Oph,2447272.250,26.25,1,10.00,0.15,V
V2214 Oph,2447273.250,27.25,1,10.50,0.15,V
V2214 Oph,2447274.250,28.25,1,10.30,0.15,V
V2214 Oph,2447275.250,29.25,1,10.00,0.15,V
V2214 Oph,2447276.250,30.25,1,9.70,0.15,V
V2214 Oph,2447278.750,32.75,2,10.50,0.11,V
V2214 Oph,2447281.000,35.00,4,10.53,0.08,V
V2214 Oph,2447283.000,37.00,6,10.23,0.13,V
V2214 Oph,2447287.000,41.00,4,9.45,0.08,V
V2214 Oph,2447289.000,43.00,2,9.95,0.11,V
V2214 Oph,2447291.000,45.00,1,9.90,0.15,V
V2214 Oph,2447293.000,47.00,1,9.70,0.15,V
V2214 Oph,2447295.000,49.00,3,9.67,0.09,V
V2214 Oph,2447299.000,53.00,2,9.70,0.14,V
V2214 Oph,2447302.000,56.00,6,10.00,0.06,V
V2214 Oph,2447306.000,60.00,7,10.27,0.08,V
V2214 Oph,2447310.000,64.00,11,10.75,0.06,V
V2214 Oph,2447314.000,68.00,7,10.51,0.06,V
V2214 Oph,2447318.000,72.00,12,10.54,0.09,V
V2214 Oph,2447322.000,76.00,4,10.48,0.08,V
V2214 Oph,2447326.000,80.00,7,10.86,0.08,V
V2214 Oph,2447330.000,84.00,5,11.14,0.07,V
V2214 Oph,2447334.000,88.00,10,10.93,0.09,V
V2214 Oph,2447338.000,92.00,9,11.07,0.09,V
V2214 Oph,2447342.000,96.00,3,10.87,0.12,V
V2214 Oph,2447346.000,100.00,6,11.15,0.11,V
V2214 Oph,2447350.000,104.00,5,11.22,0.07,V
V2214 Oph,2447354.000,108.00,11,11.56,0.10,V
V2214 Oph,2447358.000,112.00,5,11.62,0.07,V
V2214 Oph,2447362.000,116.00,7,11.74,0.12,V
V2214 Oph,2447366.000,120.00,1,12.50,0.15,V
V2214 Oph,2447370.000,124.00,3,11.87,0.18,V
V2214 Oph,2447374.000,128.00,13,12.23,0.07,V
V2214 Oph,2447378.000,132.00,7,12.73,0.09,V
V2214 Oph,2447382.000,136.00,5,12.86,0.07,V
V2214 Oph,2447386.000,140.00,9,12.68,0.08,V
V2214 Oph,2447390.000,144.00,7,12.81,0.06,V
V2214 Oph,2447394.000,148.00,3,12.80,0.09,V
V2214 Oph,2447398.000,152.00,3,12.17,0.22,V
V2214 Oph,2447402.000,156.00,1,11.60,0.15,V
V2214 Oph,2447406.000,160.00,5,11.64,0.15,V
V2214 Oph,2447410.000,164.00,6,11.63,0.07,V
V2214 Oph,2447414.000,168.00,4,11.53,0.13,V
V2214 Oph,2447418.000,172.00,5,12.18,0.20,V
V2214 Oph,2447422.000,176.00,5,12.44,0.07,V
V2214 Oph,2447430.000,184.00,3,12.17,0.15,V
V2214 Oph,2447434.000,188.00,5,12.46,0.14,V
V2214 Oph,2447438.000,192.00,2,12.55,0.18,V
V2214 Oph,2447442.000,196.00,5,12.50,0.10,V
V2214 Oph,2447446.000,200.00,5,12.62,0.11,V
V2214 Oph,2447450.000,204.00,2,12.45,0.11,V
V2214 Oph,2447462.000,216.00,3,12.47,0.20,V
V2214 Oph,2447466.000,220.00,5,12.52,0.08,V
V2214 Oph,2447470.000,224.00,3,12.73,0.09,V
V2214 Oph,2447478.000,232.00,1,12.80,0.15,V
V2214 Oph,2447568.000,322.00,2,13.25,0.11,V
V2214 Oph,2447576.000,330.00,2,13.25,0.11,V
V2214 Oph,2447592.000,346.00,6,13.30,0.06,V
V2214 Oph,2447600.000,354.00,6,13.22,0.06,V
V2214 Oph,2447624.000,378.00,3,13.07,0.09,V
V2214 Oph,2447632.000,386.00,2,13.40,0.11,V
V2214 Oph,2447640.000,394.00,1,13.40,0.15,V
V2214 Oph,2447648.000,402.00,2,13.35,0.11,V
V2214 Oph,2447656.000,410.00,7,13.39,0.07,V
V2214 Oph,2447664.000,418.00,3,13.70,0.09,V
V2214 Oph,2447680.000,434.00,3,13.77,0.09,V
V2214 Oph,2447688.000,442.00,3,13.90,0.09,V
V2214 Oph,2447696.000,450.00,2,13.75,0.11,V
V2214 Oph,2447704.000,458.00,2,13.80,0.11,V
V2214 Oph,2447712.000,466.00,1,13.80,0.15,V
V2214 Oph,2447736.000,490.00,2,14.95,0.11,V
V2214 Oph,2447760.000,514.00,2,14.20,0.11,V
V2214 Oph,2447776.000,530.00,1,14.20,0.15,V
V2214 Oph,2448064.000,818.00,1,15.20,0.15,V
