#FILENAME,WAVELENGTH COL NUM,FLUX COL NUM,FLUX ERR COL NUM,FLUX UNITS,DATE,OBSERVER,TELESCOPE,INSTRUMENT,DISPERSION,WAVELENGTH RANGE 1,WAVELENGTH RANGE 2
V2214OPB_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4473e+06,Williams,CTIO 1 m,2D-Frutti,8.0,3450.00000,8194.00000
V2214OPH_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44734e+06,Williams,CTIO 1 m,2D-Frutti,8.0,3100.00000,7860.00000
V2214OPF_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44732e+06,Williams,CTIO 1 m,2D-Frutti,7.919455,6452.74500,10958.91489
V2214OPE_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44732e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3500.00000,7197.50000
V2214OPQ_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44743e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3400.00000,7097.50000
V2214OPP_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44739e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3100.00000,6797.50000
V2214OPN_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44736e+06,Williams,CTIO 1 m,2D-Frutti,0.91,3080.00000,5546.10000
V2214OPA_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44729e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3600.00000,7297.50000
V2214OPU_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44816e+06,Williams,CTIO 1 m,2D-Frutti,7.872562,3140.00000,10209.56068
V2214OPK_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44735e+06,Williams,CTIO 1 m,2D-Frutti,0.92,3100.00000,5160.80000
V2214OPD_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4473e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3500.00000,7197.50000
V2214OPR_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44744e+06,Williams,CTIO 1 m,2D-Frutti,7.8643122,3220.98000,7499.16584
V2214OPT_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44803e+06,Williams,CTIO 1 m,2D-Frutti,7.881557,3010.00000,10568.41316
V2214OPC_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4473e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3500.00000,7197.50000
V2214OPL_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44735e+06,Williams,CTIO 1 m,2D-Frutti,0.92,3770.00000,5130.68000
V2214OPV_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44832e+06,Williams,CTIO 1 m,2D-Frutti,5.0,3245.00000,9175.00000
V2214OPI_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44735e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3500.00000,7197.50000
V2214OPS_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44765e+06,Williams,CTIO 1 m,2D-Frutti,8.286835,3010.00000,10567.59352
V2214OPJ_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44735e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3000.00000,6697.50000
V2214OPG_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44733e+06,Williams,CTIO 1 m,2D-Frutti,2.5,3500.00000,7197.50000
V2214OPW_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4484e+06,Williams,CTIO 1 m,2D-Frutti,8.282578,3103.00000,10250.86481
V2214OPX_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44872e+06,Williams,CTIO 1 m,2D-Frutti,3.538086,3235.32400,7459.79868
