#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V4643 Sgr,2451964.750,0.75,3,7.70,0.10,V
V4643 Sgr,2451965.750,1.75,12,8.14,0.05,V
V4643 Sgr,2451966.250,2.25,5,8.88,0.07,V
V4643 Sgr,2451966.750,2.75,1,9.30,0.15,V
V4643 Sgr,2451967.250,3.25,2,9.70,0.14,V
V4643 Sgr,2451967.750,3.75,3,9.77,0.10,V
V4643 Sgr,2451968.250,4.25,3,9.90,0.09,V
V4643 Sgr,2451968.750,4.75,10,10.05,0.02,V
V4643 Sgr,2451969.750,5.75,12,10.28,0.04,V
V4643 Sgr,2451971.000,7.00,6,10.58,0.06,V
V4643 Sgr,2451973.000,9.00,7,10.94,0.07,V
V4643 Sgr,2451975.000,11.00,8,11.04,0.08,V
V4643 Sgr,2451977.000,13.00,3,11.23,0.12,V
V4643 Sgr,2451979.000,15.00,1,11.40,0.15,V
V4643 Sgr,2451981.000,17.00,13,11.52,0.06,V
V4643 Sgr,2451983.000,19.00,3,11.27,0.09,V
V4643 Sgr,2451985.000,21.00,2,11.60,0.14,V
V4643 Sgr,2451987.000,23.00,2,12.25,0.18,V
V4643 Sgr,2451989.000,25.00,1,12.40,0.15,V
V4643 Sgr,2451992.000,28.00,4,13.03,0.08,V
V4643 Sgr,2451996.000,32.00,2,13.20,0.11,V
V4643 Sgr,2452000.000,36.00,1,13.40,0.15,V
V4643 Sgr,2452004.000,40.00,1,13.80,0.15,V
V4643 Sgr,2452008.000,44.00,10,13.60,0.02,V
V4643 Sgr,2452016.000,52.00,11,14.34,0.03,V
V4643 Sgr,2452020.000,56.00,10,14.10,0.02,V
V4643 Sgr,2452024.000,60.00,10,14.30,0.02,V
V4643 Sgr,2452028.000,64.00,3,14.80,0.09,V
V4643 Sgr,2452032.000,68.00,10,14.30,0.02,V
V4643 Sgr,2452036.000,72.00,10,14.30,0.02,V
V4643 Sgr,2452044.000,80.00,12,14.90,0.06,V
V4643 Sgr,2452048.000,84.00,1,15.10,0.15,V
V4643 Sgr,2452090.000,126.00,2,14.40,0.11,V
