#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V4169 Sgr,2448807.750,0.75,1,8.00,0.15,V
V4169 Sgr,2448812.750,5.75,1,8.50,0.15,V
V4169 Sgr,2448813.750,6.75,2,7.90,0.11,V
V4169 Sgr,2448814.750,7.75,1,8.00,0.15,V
V4169 Sgr,2448815.500,8.50,2,8.20,0.11,V
V4169 Sgr,2448816.500,9.50,3,8.37,0.17,V
V4169 Sgr,2448817.500,10.50,2,8.15,0.11,V
V4169 Sgr,2448818.500,11.50,9,8.50,0.10,V
V4169 Sgr,2448819.500,12.50,7,8.47,0.06,V
V4169 Sgr,2448820.500,13.50,12,8.46,0.05,V
V4169 Sgr,2448821.500,14.50,14,8.74,0.05,V
V4169 Sgr,2448822.500,15.50,8,8.78,0.05,V
V4169 Sgr,2448823.500,16.50,13,8.77,0.06,V
V4169 Sgr,2448824.500,17.50,9,8.88,0.08,V
V4169 Sgr,2448825.500,18.50,10,9.05,0.05,V
V4169 Sgr,2448826.500,19.50,12,9.17,0.10,V
V4169 Sgr,2448827.500,20.50,9,9.21,0.07,V
V4169 Sgr,2448828.500,21.50,8,9.28,0.11,V
V4169 Sgr,2448829.500,22.50,8,9.63,0.06,V
V4169 Sgr,2448830.500,23.50,11,9.52,0.10,V
V4169 Sgr,2448831.500,24.50,11,9.35,0.08,V
V4169 Sgr,2448832.500,25.50,11,9.43,0.08,V
V4169 Sgr,2448833.500,26.50,12,9.60,0.07,V
V4169 Sgr,2448834.500,27.50,6,9.73,0.12,V
V4169 Sgr,2448836.000,29.00,15,9.73,0.09,V
V4169 Sgr,2448838.000,31.00,18,9.71,0.06,V
V4169 Sgr,2448840.000,33.00,18,10.03,0.08,V
V4169 Sgr,2448842.000,35.00,6,10.32,0.16,V
V4169 Sgr,2448844.000,37.00,3,10.57,0.11,V
V4169 Sgr,2448846.000,39.00,1,10.50,0.15,V
V4169 Sgr,2448848.000,41.00,4,10.90,0.08,V
V4169 Sgr,2448850.000,43.00,10,10.84,0.06,V
V4169 Sgr,2448852.000,45.00,12,11.09,0.06,V
V4169 Sgr,2448854.000,47.00,9,11.00,0.09,V
V4169 Sgr,2448856.000,49.00,15,11.13,0.08,V
V4169 Sgr,2448858.000,51.00,14,11.04,0.09,V
V4169 Sgr,2448860.000,53.00,13,11.02,0.09,V
V4169 Sgr,2448863.000,56.00,18,11.01,0.07,V
V4169 Sgr,2448867.000,60.00,9,11.00,0.05,V
V4169 Sgr,2448871.000,64.00,4,11.35,0.08,V
V4169 Sgr,2448875.000,68.00,4,11.55,0.08,V
V4169 Sgr,2448879.000,72.00,7,11.47,0.06,V
V4169 Sgr,2448883.000,76.00,5,11.62,0.07,V
V4169 Sgr,2448887.000,80.00,9,11.76,0.08,V
V4169 Sgr,2448891.000,84.00,13,11.71,0.06,V
V4169 Sgr,2448895.000,88.00,7,11.83,0.07,V
V4169 Sgr,2448899.000,92.00,2,12.25,0.18,V
V4169 Sgr,2448905.000,98.00,4,12.40,0.09,V
V4169 Sgr,2448913.000,106.00,11,12.43,0.07,V
V4169 Sgr,2448921.000,114.00,10,12.43,0.08,V
V4169 Sgr,2448929.000,122.00,4,13.18,0.12,V
V4169 Sgr,2448937.000,130.00,3,12.87,0.28,V
V4169 Sgr,2448945.000,138.00,1,13.50,0.15,V
V4169 Sgr,2449125.000,318.00,1,13.80,0.15,V
V4169 Sgr,2449157.000,350.00,1,13.80,0.15,V
V4169 Sgr,2449189.000,382.00,1,13.80,0.15,V
V4169 Sgr,2449253.000,446.00,1,15.50,0.15,V
V4169 Sgr,2449541.000,734.00,1,15.30,0.15,V
V4169 Sgr,2449637.000,830.00,1,15.00,0.15,V
V4169 Sgr,2449925.000,1118.00,1,14.50,0.15,V
