#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
DD Cir,2451411.750,0.75,1,8.50,0.15,V
DD Cir,2451414.250,3.25,10,7.79,0.02,V
DD Cir,2451414.750,3.75,22,7.64,0.06,V
DD Cir,2451415.250,4.25,8,8.55,0.10,V
DD Cir,2451415.750,4.75,16,7.82,0.06,V
DD Cir,2451416.250,5.25,15,8.48,0.08,V
DD Cir,2451416.750,5.75,1,9.00,0.15,V
DD Cir,2451417.250,6.25,6,8.90,0.12,V
DD Cir,2451417.750,6.75,1,9.20,0.15,V
DD Cir,2451418.250,7.25,9,9.41,0.05,V
DD Cir,2451418.750,7.75,3,9.33,0.09,V
DD Cir,2451419.250,8.25,8,9.28,0.05,V
DD Cir,2451419.750,8.75,5,9.76,0.07,V
DD Cir,2451420.250,9.25,5,9.70,0.07,V
DD Cir,2451420.750,9.75,4,9.85,0.08,V
DD Cir,2451421.250,10.25,9,9.69,0.05,V
DD Cir,2451421.750,10.75,3,9.77,0.09,V
DD Cir,2451422.250,11.25,5,9.68,0.07,V
DD Cir,2451422.750,11.75,3,9.80,0.09,V
DD Cir,2451423.250,12.25,3,10.03,0.09,V
DD Cir,2451423.750,12.75,3,10.00,0.09,V
DD Cir,2451424.250,13.25,5,10.16,0.07,V
DD Cir,2451424.750,13.75,3,10.13,0.09,V
DD Cir,2451425.250,14.25,9,10.20,0.05,V
DD Cir,2451425.750,14.75,1,10.20,0.15,V
DD Cir,2451426.250,15.25,3,10.37,0.09,V
DD Cir,2451427.250,16.25,4,10.28,0.09,V
DD Cir,2451427.750,16.75,2,10.45,0.11,V
DD Cir,2451428.250,17.25,1,10.20,0.15,V
DD Cir,2451428.750,17.75,1,10.40,0.15,V
DD Cir,2451429.250,18.25,1,10.70,0.15,V
DD Cir,2451429.750,18.75,1,10.70,0.15,V
DD Cir,2451430.250,19.25,2,10.80,0.11,V
DD Cir,2451430.750,19.75,3,10.60,0.09,V
DD Cir,2451431.250,20.25,6,10.82,0.06,V
DD Cir,2451431.750,20.75,2,10.85,0.11,V
DD Cir,2451432.250,21.25,1,10.90,0.15,V
DD Cir,2451433.250,22.25,2,11.00,0.11,V
DD Cir,2451433.750,22.75,1,11.00,0.15,V
DD Cir,2451434.250,23.25,4,11.08,0.11,V
DD Cir,2451434.750,23.75,2,10.70,0.21,V
DD Cir,2451435.250,24.25,3,11.27,0.09,V
DD Cir,2451435.750,24.75,1,11.30,0.15,V
DD Cir,2451436.250,25.25,4,11.28,0.12,V
DD Cir,2451436.750,25.75,1,11.30,0.15,V
DD Cir,2451437.250,26.25,4,11.45,0.08,V
DD Cir,2451437.750,26.75,1,11.50,0.15,V
DD Cir,2451438.250,27.25,3,11.63,0.09,V
DD Cir,2451438.750,27.75,2,11.65,0.11,V
DD Cir,2451440.250,29.25,3,11.70,0.09,V
DD Cir,2451440.750,29.75,1,11.80,0.15,V
DD Cir,2451441.750,30.75,2,11.80,0.11,V
DD Cir,2451443.750,32.75,1,11.70,0.15,V
DD Cir,2451446.250,35.25,2,11.80,0.11,V
DD Cir,2451447.750,36.75,1,11.80,0.15,V
DD Cir,2451448.750,37.75,2,11.75,0.18,V
DD Cir,2451449.250,38.25,3,11.77,0.11,V
DD Cir,2451449.750,38.75,3,11.47,0.22,V
DD Cir,2451450.750,39.75,2,11.70,0.21,V
DD Cir,2451451.250,40.25,1,11.40,0.15,V
DD Cir,2451451.750,40.75,1,11.20,0.15,V
DD Cir,2451452.750,41.75,1,12.40,0.15,V
DD Cir,2451453.250,42.25,2,11.90,0.11,V
DD Cir,2451453.750,42.75,2,12.00,0.28,V
DD Cir,2451456.250,45.25,3,11.80,0.02,V
DD Cir,2451457.750,46.75,1,12.00,0.15,V
DD Cir,2451458.250,47.25,2,11.80,0.11,V
DD Cir,2451458.750,47.75,2,11.80,0.14,V
DD Cir,2451459.750,48.75,1,12.40,0.15,V
DD Cir,2451460.250,49.25,2,11.90,0.11,V
DD Cir,2451460.750,49.75,1,11.50,0.15,V
DD Cir,2451463.750,52.75,2,11.70,0.21,V
DD Cir,2451465.250,54.25,2,12.00,0.11,V
DD Cir,2451465.750,54.75,1,12.40,0.15,V
DD Cir,2451490.500,79.50,1,13.10,0.15,V
