#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
U Sco,e,2444037.70000,V,>,13.700,--,AAVSO
U Sco,e,2444043.60000,V,>,11.000,--,AAVSO
U Sco,e,2444049.00000,V,,9.400,0.15,AAVSO
U Sco,e,2444049.90000,V,,9.700,0.15,AAVSO
U Sco,e,2444050.60000,V,,10.500,0.15,AAVSO
U Sco,e,2444050.61000,V,,10.400,0.15,AAVSO
U Sco,e,2444050.64000,V,,10.000,0.15,AAVSO
U Sco,e,2444050.68000,V,,10.400,0.15,AAVSO
U Sco,e,2444050.70500,V,,10.500,0.15,AAVSO
U Sco,e,2444050.70800,V,,10.400,0.15,AAVSO
U Sco,e,2444050.71700,V,,10.100,0.15,AAVSO
U Sco,e,2444050.73000,V,,9.800,0.15,AAVSO
U Sco,e,2444050.73000,V,,10.200,0.15,AAVSO
U Sco,e,2444050.80000,V,,10.200,0.15,AAVSO
U Sco,e,2444050.84300,V,,10.000,0.15,AAVSO
U Sco,e,2444050.90000,V,,10.200,0.15,AAVSO
U Sco,e,2444051.60000,V,,10.800,0.15,AAVSO
U Sco,e,2444051.61100,V,,10.400,0.15,AAVSO
U Sco,e,2444051.61800,V,,10.900,0.15,AAVSO
U Sco,e,2444051.63400,V,,11.000,0.15,AAVSO
U Sco,e,2444051.65000,V,,10.700,0.15,AAVSO
U Sco,e,2444051.65000,V,,10.700,0.15,AAVSO
U Sco,e,2444051.70600,V,,10.700,0.15,AAVSO
U Sco,e,2444051.80000,V,,10.500,0.15,AAVSO
U Sco,e,2444052.60800,V,,11.300,0.15,AAVSO
U Sco,e,2444052.66000,V,,11.100,0.15,AAVSO
U Sco,e,2444052.70500,V,,11.400,0.15,AAVSO
U Sco,e,2444052.88200,V,>,11.500,--,AAVSO
U Sco,e,2444053.72500,V,,12.100,0.15,AAVSO
U Sco,e,2444053.80000,V,,11.600,0.15,AAVSO
U Sco,e,2444053.80000,V,,11.500,0.15,AAVSO
U Sco,e,2444053.80000,V,,11.600,0.15,AAVSO
U Sco,e,2444054.70000,V,,11.400,0.15,AAVSO
U Sco,e,2444055.60200,V,,12.300,0.15,AAVSO
U Sco,e,2444055.75100,V,,12.000,0.15,AAVSO
U Sco,e,2444056.70000,V,,13.000,0.15,AAVSO
U Sco,e,2444056.70000,V,,13.300,0.15,AAVSO
U Sco,e,2444057.65200,V,,13.600,0.15,AAVSO
U Sco,e,2444057.70000,V,,13.200,0.15,AAVSO
U Sco,e,2444057.70000,V,,13.500,0.15,AAVSO
U Sco,e,2444058.67700,V,,13.300,0.15,AAVSO
U Sco,e,2444059.70000,V,,13.500,0.15,AAVSO
U Sco,e,2444059.70700,V,,13.200,0.15,AAVSO
U Sco,e,2444068.70000,V,,14.100,0.15,AAVSO
U Sco,e,2444075.80000,V,>,14.000,--,AAVSO
U Sco,e,2444087.70000,V,>,14.000,--,AAVSO
U Sco,e,2444089.70000,V,>,13.000,--,AAVSO
U Sco,e,2444096.70000,V,>,14.200,--,AAVSO
U Sco,e,2444097.70000,V,>,14.000,--,AAVSO
U Sco,e,2444098.60000,V,>,14.200,--,AAVSO
U Sco,e,2444100.00000,V,,15.800,0.15,AAVSO
U Sco,e,2446924.59000,V,>,15.000,--,AAVSO
U Sco,e,2446926.60000,V,>,13.100,--,AAVSO
U Sco,e,2446931.59000,V,,10.800,0.15,AAVSO
U Sco,e,2446931.63400,V,,10.800,0.15,AAVSO
U Sco,e,2446932.25900,V,,11.000,0.15,AAVSO
U Sco,e,2446932.29400,V,,11.000,0.15,AAVSO
U Sco,e,2446932.42000,V,,11.200,0.15,AAVSO
U Sco,e,2446932.45600,V,,11.000,0.15,AAVSO
U Sco,e,2446933.25600,V,,11.300,0.15,AAVSO
U Sco,e,2446933.46200,V,,11.100,0.15,AAVSO
U Sco,e,2446933.48600,V,,11.200,0.15,AAVSO
U Sco,e,2446934.53600,V,,11.700,0.15,AAVSO
U Sco,e,2446935.03000,V,,11.800,0.15,AAVSO
U Sco,e,2446935.20000,V,,11.800,0.15,AAVSO
U Sco,e,2446935.63100,V,,12.000,0.15,AAVSO
U Sco,e,2446936.06000,V,,12.600,0.15,AAVSO
U Sco,e,2446936.38000,V,,12.500,0.15,AAVSO
U Sco,e,2446936.40000,V,,12.600,0.15,AAVSO
U Sco,e,2446936.42000,V,,12.500,0.15,AAVSO
U Sco,e,2446936.50000,V,,12.500,0.15,AAVSO
U Sco,e,2446936.68800,V,,11.800,0.15,AAVSO
U Sco,e,2446937.38500,V,,12.600,0.15,AAVSO
U Sco,e,2446937.62100,V,,12.600,0.15,AAVSO
U Sco,e,2446937.63200,V,,13.300,0.15,AAVSO
U Sco,e,2446937.72000,V,,13.400,0.15,AAVSO
U Sco,e,2446937.80000,V,,14.000,0.15,AAVSO
U Sco,e,2446938.38000,V,,13.300,0.15,AAVSO
U Sco,e,2446938.40000,V,,13.400,0.15,AAVSO
U Sco,e,2446938.41000,V,,13.500,0.15,AAVSO
U Sco,e,2446938.43000,V,,13.500,0.15,AAVSO
U Sco,e,2446939.00000,V,,13.900,0.15,AAVSO
U Sco,e,2446939.39000,V,,13.900,0.15,AAVSO
U Sco,e,2446939.43000,V,,13.900,0.15,AAVSO
U Sco,e,2446939.88000,V,,14.500,0.15,AAVSO
U Sco,e,2446940.00000,V,,13.900,0.15,AAVSO
U Sco,e,2446940.61300,V,,14.000,0.15,AAVSO
U Sco,e,2446941.10000,V,,13.900,0.15,AAVSO
U Sco,e,2446941.63500,V,,13.900,0.15,AAVSO
U Sco,e,2446942.00000,V,,14.100,0.15,AAVSO
U Sco,e,2446942.70000,V,,13.900,0.15,AAVSO
U Sco,e,2446943.80000,V,,14.200,0.15,AAVSO
U Sco,e,2446943.80000,V,,14.000,0.15,AAVSO
U Sco,e,2451235.06300,V,,7.600,0.15,AAVSO
U Sco,e,2451235.06300,V,,7.700,0.15,AAVSO
U Sco,e,2451235.50000,V,,8.600,0.15,AAVSO
U Sco,e,2451235.51500,V,,8.500,0.15,AAVSO
U Sco,e,2451235.57600,V,,8.700,0.15,AAVSO
U Sco,e,2451235.65000,V,,8.600,0.15,AAVSO
U Sco,e,2451235.66000,V,,8.600,0.15,AAVSO
U Sco,e,2451235.66000,V,,8.700,0.15,AAVSO
U Sco,e,2451235.96300,V,,9.100,0.15,AAVSO
U Sco,e,2451235.99300,V,,9.000,0.15,AAVSO
U Sco,e,2451236.21100,V,,8.700,0.15,AAVSO
U Sco,e,2451236.25300,V,,8.700,0.15,AAVSO
U Sco,e,2451236.37800,V,,9.200,0.15,AAVSO
U Sco,e,2451236.53300,V,,9.100,0.15,AAVSO
U Sco,e,2451236.58200,V,,9.000,0.15,AAVSO
U Sco,e,2451236.64000,V,,9.500,0.15,AAVSO
U Sco,e,2451236.66700,V,,9.600,0.15,AAVSO
U Sco,e,2451236.68500,V,,9.600,0.15,AAVSO
U Sco,e,2451236.69000,V,,9.000,0.15,AAVSO
U Sco,e,2451236.70000,V,,9.000,0.15,AAVSO
U Sco,e,2451236.85600,V,,9.900,0.15,AAVSO
U Sco,e,2451236.88700,V,,9.900,0.15,AAVSO
U Sco,e,2451237.06300,V,,10.100,0.15,AAVSO
U Sco,e,2451237.13600,V,,9.900,0.15,AAVSO
U Sco,e,2451237.21100,V,,10.200,0.15,AAVSO
U Sco,e,2451237.23200,V,,9.600,0.15,AAVSO
U Sco,e,2451237.31700,V,,9.500,0.15,AAVSO
U Sco,e,2451237.35600,V,,9.500,0.15,AAVSO
U Sco,e,2451237.58000,V,,10.200,0.15,AAVSO
U Sco,e,2451237.59900,V,,9.600,0.15,AAVSO
U Sco,e,2451237.66000,V,,10.000,0.15,AAVSO
U Sco,e,2451237.77800,V,,10.100,0.15,AAVSO
U Sco,e,2451237.98600,V,,10.300,0.15,AAVSO
U Sco,e,2451238.12500,V,,10.300,0.15,AAVSO
U Sco,e,2451238.34400,V,,9.900,0.15,AAVSO
U Sco,e,2451238.59900,V,,10.400,0.15,AAVSO
U Sco,e,2451238.60000,V,,10.300,0.15,AAVSO
U Sco,e,2451238.62900,V,,10.400,0.15,AAVSO
U Sco,e,2451239.37900,V,,10.600,0.15,AAVSO
U Sco,e,2451239.70000,V,,11.000,0.15,AAVSO
U Sco,e,2451239.70900,V,,10.700,0.15,AAVSO
U Sco,e,2451239.73000,V,,10.900,0.15,AAVSO
U Sco,e,2451240.31000,V,,11.300,0.15,AAVSO
U Sco,e,2451240.68800,V,,11.500,0.15,AAVSO
U Sco,e,2451240.97800,V,,11.100,0.15,AAVSO
U Sco,e,2451241.27600,V,,11.500,0.15,AAVSO
U Sco,e,2451241.31100,V,,11.500,0.15,AAVSO
U Sco,e,2451241.37700,V,,11.600,0.15,AAVSO
U Sco,e,2451241.49100,V,,11.600,0.15,AAVSO
U Sco,e,2451241.52100,V,,11.400,0.15,AAVSO
U Sco,e,2451242.31000,V,,11.600,0.15,AAVSO
U Sco,e,2451242.37400,V,,11.700,0.15,AAVSO
U Sco,e,2451242.56200,V,,11.700,0.15,AAVSO
U Sco,e,2451242.90100,V,,12.400,0.15,AAVSO
U Sco,e,2451243.35100,V,,12.100,0.15,AAVSO
U Sco,e,2451244.26900,V,,12.600,0.15,AAVSO
U Sco,e,2451244.37900,V,,12.500,0.15,AAVSO
U Sco,e,2451245.32200,V,,12.900,0.15,AAVSO
U Sco,e,2451245.48400,V,,13.100,0.15,AAVSO
U Sco,e,2451245.92900,V,,13.100,0.15,AAVSO
U Sco,e,2451246.29900,V,,13.100,0.15,AAVSO
U Sco,e,2451247.34100,V,,13.100,0.15,AAVSO
U Sco,e,2451247.44000,V,,13.300,0.15,AAVSO
U Sco,e,2451248.10000,V,,13.600,0.15,AAVSO
U Sco,e,2451248.29900,V,,13.100,0.15,AAVSO
U Sco,e,2451248.38900,V,,13.300,0.15,AAVSO
U Sco,e,2451248.83300,V,,13.500,0.15,AAVSO
U Sco,e,2451248.87400,V,,13.600,0.15,AAVSO
U Sco,e,2451249.20400,V,,13.600,0.15,AAVSO
U Sco,e,2451249.24600,V,,13.600,0.15,AAVSO
U Sco,e,2451249.27600,V,,13.700,0.15,AAVSO
U Sco,e,2451249.80800,V,,13.800,0.15,AAVSO
U Sco,e,2451249.83200,V,,13.700,0.15,AAVSO
U Sco,e,2451250.57200,V,,14.100,0.15,AAVSO
U Sco,e,2451250.89500,V,,13.600,0.15,AAVSO
U Sco,e,2451251.22500,V,,13.700,0.15,AAVSO
U Sco,e,2451251.34200,V,,13.800,0.15,AAVSO
U Sco,e,2451252.93800,V,,14.100,0.15,AAVSO
U Sco,e,2451253.32300,V,,13.800,0.15,AAVSO
U Sco,e,2451253.91500,V,,13.900,0.15,AAVSO
U Sco,e,2451254.21300,V,,14.200,0.15,AAVSO
U Sco,e,2451254.34400,V,,14.100,0.15,AAVSO
U Sco,e,2451254.92400,V,,14.000,0.15,AAVSO
U Sco,e,2451255.00200,V,,13.900,0.15,AAVSO
U Sco,e,2451257.82300,V,,14.200,0.15,AAVSO
U Sco,e,2451257.92200,V,,14.300,0.15,AAVSO
U Sco,e,2451259.30800,V,,14.300,0.15,AAVSO
U Sco,e,2451261.57300,V,,14.900,0.15,AAVSO
