#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
RS Oph,2453779.750,1.75,27,4.94,0.02,V
RS Oph,2453780.250,2.25,5831,4.97,0.02,V
RS Oph,2453780.750,2.75,46,5.35,0.02,V
RS Oph,2453781.250,3.25,1324,5.53,0.02,V
RS Oph,2453781.750,3.75,17,5.78,0.05,V
RS Oph,2453782.250,4.25,1,5.70,0.15,V
RS Oph,2453782.750,4.75,376,6.24,0.02,V
RS Oph,2453783.250,5.25,2,6.05,0.11,V
RS Oph,2453783.750,5.75,13,6.38,0.02,V
RS Oph,2453784.250,6.25,1,6.30,0.15,V
RS Oph,2453784.750,6.75,25,6.58,0.03,V
RS Oph,2453785.500,7.50,20,6.76,0.05,V
RS Oph,2453786.500,8.50,26,7.10,0.03,V
RS Oph,2453787.500,9.50,37,7.25,0.02,V
RS Oph,2453788.500,10.50,20,7.36,0.03,V
RS Oph,2453789.500,11.50,7,7.37,0.06,V
RS Oph,2453790.500,12.50,23,7.64,0.02,V
RS Oph,2453791.500,13.50,33,7.76,0.02,V
RS Oph,2453792.500,14.50,35,7.78,0.02,V
RS Oph,2453793.500,15.50,31,7.95,0.02,V
RS Oph,2453794.500,16.50,47,7.99,0.02,V
RS Oph,2453795.500,17.50,40,7.98,0.02,V
RS Oph,2453796.500,18.50,19,8.16,0.04,V
RS Oph,2453797.500,19.50,28,8.19,0.03,V
RS Oph,2453798.500,20.50,14,8.25,0.04,V
RS Oph,2453799.500,21.50,432,8.39,0.02,V
RS Oph,2453800.500,22.50,28,8.46,0.02,V
RS Oph,2453801.500,23.50,27,8.50,0.03,V
RS Oph,2453802.500,24.50,19,8.56,0.03,V
RS Oph,2453803.500,25.50,6,8.55,0.07,V
RS Oph,2453804.500,26.50,5,8.76,0.07,V
RS Oph,2453805.500,27.50,7,8.71,0.06,V
RS Oph,2453806.500,28.50,5,8.84,0.07,V
RS Oph,2453807.500,29.50,7,8.94,0.07,V
RS Oph,2453808.500,30.50,14,9.08,0.04,V
RS Oph,2453809.500,31.50,4,9.08,0.09,V
RS Oph,2453811.000,33.00,30,9.15,0.02,V
RS Oph,2453813.000,35.00,10,9.13,0.06,V
RS Oph,2453815.000,37.00,13,9.37,0.04,V
RS Oph,2453817.000,39.00,36,9.46,0.02,V
RS Oph,2453819.000,41.00,18,9.55,0.02,V
RS Oph,2453821.000,43.00,21,9.66,0.03,V
RS Oph,2453823.000,45.00,7,9.61,0.15,V
RS Oph,2453825.000,47.00,19,9.75,0.03,V
RS Oph,2453827.000,49.00,18,9.87,0.04,V
RS Oph,2453829.000,51.00,33,9.90,0.02,V
RS Oph,2453831.000,53.00,14,9.91,0.05,V
RS Oph,2453833.000,55.00,33,9.94,0.03,V
RS Oph,2453835.000,57.00,24,9.95,0.03,V
RS Oph,2453837.000,59.00,21,9.94,0.03,V
RS Oph,2453839.000,61.00,16,9.99,0.02,V
RS Oph,2453841.000,63.00,14,10.05,0.03,V
RS Oph,2453843.000,65.00,26,10.10,0.02,V
