#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
RS Oph,e,2427222.60000,V,,11.100,0.15,AAVSO
RS Oph,e,2427239.60000,V,,11.100,0.15,AAVSO
RS Oph,e,2427271.60000,V,,11.000,0.15,AAVSO
RS Oph,e,2427300.70000,V,,6.400,0.15,AAVSO
RS Oph,e,2427301.60000,V,,6.500,0.15,AAVSO
RS Oph,e,2427301.70000,V,,6.500,0.15,AAVSO
RS Oph,e,2427301.70000,V,,6.300,0.15,AAVSO
RS Oph,e,2427302.70000,V,,6.500,0.15,AAVSO
RS Oph,e,2427302.70000,V,,6.600,0.15,AAVSO
RS Oph,e,2427303.50000,V,,6.500,0.15,AAVSO
RS Oph,e,2427303.60000,V,,6.900,0.15,AAVSO
RS Oph,e,2427303.60000,V,,6.800,0.15,AAVSO
RS Oph,e,2427303.70000,V,,6.900,0.15,AAVSO
RS Oph,e,2427304.00000,V,,7.400,0.15,AAVSO
RS Oph,e,2427304.80000,V,,7.100,0.15,AAVSO
RS Oph,e,2427305.00000,V,,7.300,0.15,AAVSO
RS Oph,e,2427305.50000,V,,7.200,0.15,AAVSO
RS Oph,e,2427305.70000,V,,6.900,0.15,AAVSO
RS Oph,e,2427305.70000,V,,6.900,0.15,AAVSO
RS Oph,e,2427305.70000,V,,6.900,0.15,AAVSO
RS Oph,e,2427305.80000,V,,7.100,0.15,AAVSO
RS Oph,e,2427306.00000,V,,7.200,0.15,AAVSO
RS Oph,e,2427306.40000,V,,7.500,0.15,AAVSO
RS Oph,e,2427306.60000,V,,7.000,0.15,AAVSO
RS Oph,e,2427306.60000,V,,7.300,0.15,AAVSO
RS Oph,e,2427306.70000,V,,6.900,0.15,AAVSO
RS Oph,e,2427306.74000,V,,7.200,0.15,AAVSO
RS Oph,e,2427307.00000,V,,7.300,0.15,AAVSO
RS Oph,e,2427307.60000,V,,7.400,0.15,AAVSO
RS Oph,e,2427307.60000,V,,7.500,0.15,AAVSO
RS Oph,e,2427307.60000,V,,7.100,0.15,AAVSO
RS Oph,e,2427307.60000,V,,7.600,0.15,AAVSO
RS Oph,e,2427307.60000,V,,7.400,0.15,AAVSO
RS Oph,e,2427307.60000,V,,7.500,0.15,AAVSO
RS Oph,e,2427307.70000,V,,7.100,0.15,AAVSO
RS Oph,e,2427307.70000,V,,7.800,0.15,AAVSO
RS Oph,e,2427307.70000,V,,7.100,0.15,AAVSO
RS Oph,e,2427307.74000,V,,7.400,0.15,AAVSO
RS Oph,e,2427308.60000,V,,7.200,0.15,AAVSO
RS Oph,e,2427308.60000,V,,7.500,0.15,AAVSO
RS Oph,e,2427308.70000,V,,7.500,0.15,AAVSO
RS Oph,e,2427308.70000,V,,7.000,0.15,AAVSO
RS Oph,e,2427308.73000,V,,7.600,0.15,AAVSO
