#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
V3890 Sgr,q,2436402.64900,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2436403.65600,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2436403.72300,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2436462.52500,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2436720.73000,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2436720.76900,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2436758.72600,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2436758.77800,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2436785.58300,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2436785.62100,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2436807.58100,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2436832.51300,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2436837.53500,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2437102.75100,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2437105.63500,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2437105.71700,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2437107.76300,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2437113.66200,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2437113.69800,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2437114.63900,B,>,16.700,--,Maria Mitchell
V3890 Sgr,q,2437134.64500,B,>,16.200,--,Maria Mitchell
V3890 Sgr,q,2437137.58700,B,,14.900,0.10,Maria Mitchell
V3890 Sgr,q,2437140.65300,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2437140.69900,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2437141.63700,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2437142.59600,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2437550.54100,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2437578.49600,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2437579.50800,B,,16.600,0.10,Maria Mitchell
V3890 Sgr,q,2438206.72000,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2438252.56300,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2438252.61700,B,,15.500,0.10,Maria Mitchell
V3890 Sgr,q,2438253.56000,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2438253.60500,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438253.64000,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2438256.59400,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2438256.63500,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2438257.59600,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438257.63400,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2438258.56900,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438260.65700,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2438532.77800,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2438551.67700,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2438551.71900,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438551.75900,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438552.72600,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438552.77300,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438563.70200,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438563.71900,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438583.69900,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438583.73800,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438608.67500,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2438611.64500,B,,15.700,0.10,Maria Mitchell
V3890 Sgr,q,2438611.68200,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438611.71100,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438612.56900,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2438612.59700,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2438612.63400,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2438612.67000,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438612.70200,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2438614.60500,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438614.64600,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438614.68700,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438615.59400,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438615.63100,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438615.67400,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438617.57300,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2438617.61000,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438617.65100,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2438622.64800,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2438635.56500,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438886.77800,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438887.79700,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438909.77500,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438916.73500,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438916.77700,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438937.66900,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438939.76200,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2438943.73400,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438944.67300,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438944.70800,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438962.61700,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2438963.69700,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2438973.67000,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2438973.70500,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2438976.66600,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2439031.50600,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2439268.77900,B,,15.600,0.10,Maria Mitchell
V3890 Sgr,q,2439268.81800,B,,15.800,0.10,Maria Mitchell
V3890 Sgr,q,2439269.73800,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2439269.78300,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2439299.68700,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2439299.77100,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2439327.69700,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2439328.62300,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2439344.60500,B,,15.200,0.10,Maria Mitchell
V3890 Sgr,q,2439358.58500,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2439375.54200,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2439382.54100,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2439677.69600,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2439998.77800,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2440003.76800,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2440028.69700,B,,15.900,0.10,Maria Mitchell
V3890 Sgr,q,2440039.72700,B,,15.400,0.10,Maria Mitchell
V3890 Sgr,q,2440064.65300,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2440064.68400,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2440067.68000,B,>,16.400,--,Maria Mitchell
V3890 Sgr,q,2440067.69500,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2440068.61700,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2440068.63800,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2440068.68500,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2440084.58300,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2440084.60600,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2440087.58300,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2440087.62100,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2440113.58400,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2440114.51900,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2440119.51900,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2440120.51700,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2440417.65500,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2440476.51900,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2440479.54200,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2440737.77600,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2441095.77200,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2441122.76300,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2441130.73400,B,>,16.700,--,Maria Mitchell
V3890 Sgr,q,2441135.73300,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2441136.75100,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2441177.60000,B,,16.700,0.10,Maria Mitchell
V3890 Sgr,q,2441181.59800,B,,15.400,0.10,Maria Mitchell
V3890 Sgr,q,2441540.60500,B,,16.500,0.10,Maria Mitchell
V3890 Sgr,q,2441565.55800,B,,16.000,0.10,Maria Mitchell
V3890 Sgr,q,2441568.59200,B,,16.100,0.10,Maria Mitchell
V3890 Sgr,q,2441571.53200,B,,16.400,0.10,Maria Mitchell
V3890 Sgr,q,2441571.55700,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2441572.53900,B,,16.300,0.10,Maria Mitchell
V3890 Sgr,q,2441872.73700,B,,16.200,0.10,Maria Mitchell
V3890 Sgr,q,2441951.50600,B,,16.200,0.10,Maria Mitchell
