#HJD,Obs.date,Mag,e_Mag,Band
2455834.660,2011-09-30,--,--,RC
2455834.660,2011-09-30,15.112,0.027,V
2455834.660,2011-09-30,--,--,B
2455834.660,2011-09-30,14.569,0.032,IC
2455835.649,2011-10-01,14.668,0.017,RC
2455835.649,2011-10-01,14.948,0.013,V
2455835.649,2011-10-01,15.175,0.023,B
2455835.649,2011-10-01,14.424,0.020,IC
2455836.643,2011-10-02,14.914,0.020,RC
2455836.643,2011-10-02,15.171,0.017,V
2455836.643,2011-10-02,15.400,0.022,B
2455836.643,2011-10-02,14.641,0.023,IC
2455837.628,2011-10-03,14.908,0.017,RC
2455837.628,2011-10-03,15.209,0.014,V
2455837.628,2011-10-03,15.352,0.019,B
2455837.628,2011-10-03,14.618,0.020,IC
2455838.626,2011-10-04,14.752,0.020,RC
2455838.626,2011-10-04,15.041,0.015,V
2455838.626,2011-10-04,15.234,0.019,B
2455838.626,2011-10-04,14.508,0.020,IC
2455845.607,2011-10-11,15.006,0.019,RC
2455845.607,2011-10-11,15.222,0.017,V
2455845.607,2011-10-11,15.556,0.024,B
2455845.607,2011-10-11,14.683,0.023,IC
2455858.611,2011-10-24,--,--,RC
2455858.611,2011-10-24,15.420,0.018,V
2455858.611,2011-10-24,15.785,0.017,B
2455858.611,2011-10-24,14.788,0.052,IC
2455863.593,2011-10-29,15.157,0.014,RC
2455863.593,2011-10-29,15.425,0.012,V
2455863.593,2011-10-29,15.727,0.016,B
2455863.593,2011-10-29,14.872,0.017,IC
2455875.512,2011-11-10,14.925,0.026,RC
2455875.512,2011-11-10,15.131,0.021,V
2455875.512,2011-11-10,15.457,0.037,B
2455875.512,2011-11-10,14.547,0.025,IC
2455878.499,2011-11-13,14.697,0.019,RC
2455878.499,2011-11-13,14.990,0.021,V
2455878.499,2011-11-13,15.251,0.028,B
2455878.499,2011-11-13,14.479,0.026,IC
2455881.528,2011-11-16,14.871,0.014,RC
2455881.528,2011-11-16,15.118,0.011,V
2455881.528,2011-11-16,15.317,0.017,B
2455881.528,2011-11-16,14.576,0.015,IC
2455883.491,2011-11-18,14.527,0.010,RC
2455883.491,2011-11-18,14.855,0.010,V
2455883.491,2011-11-18,15.062,0.013,B
2455883.491,2011-11-18,14.297,0.010,IC
2455884.421,2011-11-19,--,--,RC
2455884.421,2011-11-19,14.949,0.015,V
2455884.421,2011-11-19,--,--,B
2455884.421,2011-11-19,14.398,0.023,IC
2455884.430,2011-11-19,--,--,RC
2455884.430,2011-11-19,14.964,0.013,V
2455884.430,2011-11-19,--,--,B
2455884.430,2011-11-19,14.418,0.027,IC
2455884.437,2011-11-19,--,--,RC
2455884.437,2011-11-19,14.970,0.013,V
2455884.437,2011-11-19,--,--,B
2455884.437,2011-11-19,14.444,0.025,IC
2455884.443,2011-11-19,--,--,RC
2455884.443,2011-11-19,15.015,0.014,V
2455884.443,2011-11-19,--,--,B
2455884.443,2011-11-19,14.415,0.025,IC
2455884.449,2011-11-19,--,--,RC
2455884.449,2011-11-19,14.973,0.013,V
2455884.449,2011-11-19,--,--,B
