#HJD,Obs,Mag,Band
2454181.6660,b,10.335,B
2454181.6660,b,6.393,IC
2454181.6660,b,8.561,RC
2454181.6660,b,9.308,V
2454184.9804,a,10.489,B
2454184.9804,a,5.426,IC
2454184.9804,a,8.083,RC
2454184.9804,a,9.001,V
2454184.9829,a,10.494,B
2454184.9829,a,5.428,IC
2454184.9829,a,8.152,RC
2454184.9829,a,8.986,V
2454185.9806,a,10.408,B
2454185.9806,a,5.579,IC
2454185.9806,a,8.206,RC
2454185.9806,a,9.040,V
2454185.9833,a,10.419,B
2454185.9833,a,5.679,IC
2454185.9833,a,8.230,RC
2454185.9833,a,9.054,V
2454187.6382,b,9.644,B
2454187.6382,b,5.340,IC
2454187.6382,b,7.763,RC
2454187.6382,b,8.524,V
2454188.6374,b,10.584,B
2454188.6374,b,5.651,IC
2454188.6374,b,8.355,RC
2454188.6374,b,9.244,V
2454188.9739,a,10.846,B
2454188.9739,a,5.703,IC
2454188.9739,a,8.678,RC
2454188.9739,a,9.606,V
2454188.9771,a,10.855,B
2454188.9771,a,5.823,IC
2454188.9771,a,8.706,RC
2454188.9771,a,9.587,V
2454190.9946,a,11.149,B
2454190.9946,a,6.272,IC
2454190.9946,a,9.196,RC
2454190.9946,a,10.152,V
2454190.9985,a,11.147,B
2454190.9985,a,6.230,IC
2454190.9985,a,9.217,RC
2454190.9985,a,10.126,V
2454191.6423,b,10.941,B
2454191.6423,b,--,IC
2454191.6423,b,--,RC
2454191.6423,b,9.940,V
2454192.9994,a,10.506,B
2454192.9994,a,5.681,IC
2454192.9994,a,8.564,RC
2454192.9994,a,9.425,V
2454193.5961,c,10.278,B
2454193.5961,c,5.872,IC
2454193.5961,c,8.481,RC
2454193.5961,c,9.209,V
2454193.6147,b,10.150,B
2454193.6147,b,5.676,IC
2454193.6147,b,8.325,RC
2454193.6147,b,9.095,V
2454195.6136,b,10.273,B
2454195.6136,b,5.869,IC
2454195.6136,b,8.443,RC
2454195.6136,b,9.262,V
2454196.6060,b,10.344,B
2454196.6060,b,5.878,IC
2454196.6060,b,8.464,RC
2454196.6060,b,9.315,V
2454196.6462,c,10.333,B
2454196.6462,c,6.053,IC
2454196.6462,c,8.538,RC
2454196.6462,c,9.333,V
2454197.6285,b,10.648,B
2454197.6285,b,6.110,IC
2454197.6285,b,8.795,RC
2454197.6285,b,9.665,V
2454200.6278,b,10.628,B
2454200.6278,b,6.228,IC
2454200.6278,b,8.811,RC
2454200.6278,b,9.644,V
2454200.9411,a,10.776,B
2454200.9411,a,6.152,IC
2454200.9411,a,8.836,RC
2454200.9411,a,9.739,V
2454200.9445,a,10.788,B
2454200.9445,a,6.176,IC
2454200.9445,a,8.815,RC
2454200.9445,a,9.707,V
2454201.6103,b,10.639,B
2454201.6103,b,6.256,IC
2454201.6103,b,8.819,RC
2454201.6103,b,9.674,V
2454201.6232,c,10.731,B
2454201.6232,c,5.998,IC
2454201.6232,c,8.804,RC
2454201.6232,c,9.720,V
2454201.9883,a,11.030,B
2454201.9883,a,6.275,IC
2454201.9883,a,8.984,RC
2454201.9883,a,9.937,V
2454201.9920,a,11.025,B
2454201.9920,a,6.285,IC
2454201.9920,a,9.021,RC
2454201.9920,a,9.935,V
2454202.6179,b,10.736,B
2454202.6179,b,6.177,IC
2454202.6179,b,8.897,RC
2454202.6179,b,9.811,V
2454204.5894,b,10.893,B
2454204.5894,b,6.599,IC
2454204.5894,b,9.110,RC
2454204.5894,b,10.046,V
2454205.6286,b,11.054,B
2454205.6286,b,6.500,IC
2454205.6286,b,9.243,RC
2454205.6286,b,10.183,V
2454205.9753,a,11.365,B
2454205.9753,a,6.575,IC
2454205.9753,a,9.382,RC
2454205.9753,a,10.362,V
2454205.9790,a,11.372,B
2454205.9790,a,6.534,IC
2454205.9790,a,9.376,RC
2454205.9790,a,10.362,V
2454206.6019,b,11.039,B
2454206.6019,b,6.557,IC
2454206.6019,b,9.164,RC
2454206.6019,b,10.081,V
2454207.5985,b,10.951,B
2454207.5985,b,6.463,IC
2454207.5985,b,9.109,RC
2454207.5985,b,10.050,V
2454208.6092,b,11.230,B
2454208.6092,b,6.684,IC
2454208.6092,b,9.386,RC
2454208.6092,b,10.337,V
2454209.6211,b,--,B
2454209.6211,b,6.498,IC
2454209.6211,b,9.206,RC
2454209.6211,b,10.182,V
2454210.6036,c,11.286,B
2454210.6036,c,6.666,IC
2454210.6036,c,9.425,RC
2454210.6036,c,10.341,V
2454210.6067,b,11.186,B
2454210.6067,b,6.701,IC
2454210.6067,b,9.359,RC
2454210.6067,b,10.329,V
2454211.5844,b,11.148,B
2454211.5844,b,6.628,IC
2454211.5844,b,9.233,RC
2454211.5844,b,10.194,V
2454212.9566,a,11.676,B
2454212.9566,a,6.856,IC
2454212.9566,a,9.607,RC
2454212.9566,a,10.644,V
2454212.9627,a,11.672,B
2454212.9627,a,6.886,IC
2454212.9627,a,9.602,RC
2454212.9627,a,10.645,V
2454213.5860,b,11.520,B
2454213.5860,b,6.917,IC
2454213.5860,b,9.617,RC
2454213.5860,b,10.630,V
2454213.9470,a,11.712,B
2454213.9470,a,6.957,IC
2454213.9470,a,9.636,RC
2454213.9470,a,10.688,V
2454213.9529,a,11.727,B
2454213.9529,a,6.983,IC
2454213.9529,a,9.649,RC
2454213.9529,a,10.695,V
2454217.5678,b,11.418,B
2454217.5678,b,7.012,IC
2454217.5678,b,9.600,RC
2454217.5678,b,10.624,V
2454217.9681,a,11.671,B
2454217.9681,a,7.084,IC
