#HJD,Tel,Mag,Band
6155.6407,30,--,B
6155.6407,30,8.217,IC
6155.6407,30,--,RC
6155.6407,30,9.993,V
6156.6427,30,10.339,B
6156.6427,30,8.281,IC
6156.6427,30,8.300,RC
6156.6427,30,10.009,V
6158.6253,30,10.206,B
6158.6253,30,8.291,IC
6158.6253,30,8.284,RC
6158.6253,30,9.970,V
6159.6285,30,10.291,B
6159.6285,30,8.369,IC
6159.6285,30,8.345,RC
6159.6285,30,10.022,V
6160.6235,30,10.309,B
6160.6235,30,8.430,IC
6160.6235,30,8.439,RC
6160.6235,30,10.088,V
6160.6481,61,10.348,B
6160.6481,61,8.382,IC
6160.6481,61,8.462,RC
6160.6481,61,10.073,V
6161.6393,61,10.176,B
6161.6393,61,8.376,IC
6161.6393,61,8.445,RC
6161.6393,61,10.094,V
6163.6412,30,10.274,B
6163.6412,30,8.504,IC
6163.6412,30,--,RC
6163.6412,30,10.097,V
6164.6328,30,10.361,B
6164.6328,30,8.534,IC
6164.6328,30,8.525,RC
6164.6328,30,10.152,V
6164.6389,61,10.367,B
6164.6389,61,8.518,IC
6164.6389,61,8.516,RC
6164.6389,61,10.095,V
6166.6241,36,10.381,B
6166.6241,36,8.609,IC
6166.6241,36,8.545,RC
6166.6241,36,10.136,V
6166.6290,61,10.394,B
6166.6290,61,8.570,IC
6166.6290,61,8.531,RC
6166.6290,61,10.109,V
6167.6214,30,10.408,B
6167.6214,30,8.608,IC
6167.6214,30,8.572,RC
6167.6214,30,10.111,V
6167.6281,61,10.362,B
6167.6281,61,8.522,IC
6167.6281,61,8.497,RC
6167.6281,61,10.062,V
6168.6217,30,10.417,B
6168.6217,30,8.670,IC
6168.6217,30,8.627,RC
6168.6217,30,10.180,V
6175.6122,30,10.432,B
6175.6122,30,8.866,IC
6175.6122,30,8.762,RC
6175.6122,30,10.278,V
6176.6362,30,10.495,B
6176.6362,30,8.926,IC
6176.6362,30,8.808,RC
6176.6362,30,10.327,V
6177.6635,61,10.457,B
6177.6635,61,8.971,IC
6177.6635,61,8.857,RC
6177.6635,61,10.319,V
6178.6140,30,10.444,B
6178.6140,30,8.953,IC
6178.6140,30,8.846,RC
6178.6140,30,10.296,V
6179.6036,30,10.475,B
6179.6036,30,8.974,IC
6179.6036,30,8.848,RC
6179.6036,30,10.322,V
6179.6574,61,10.489,B
6179.6574,61,9.028,IC
6179.6574,61,8.919,RC
6179.6574,61,10.333,V
6181.6172,30,10.493,B
6181.6172,30,9.103,IC
6181.6172,30,8.923,RC
6181.6172,30,10.398,V
6185.6291,30,10.540,B
6185.6291,30,9.172,IC
6185.6291,30,9.019,RC
6185.6291,30,10.453,V
6188.6073,30,10.544,B
6188.6073,30,9.201,IC
6188.6073,30,9.044,RC
6188.6073,30,10.451,V
6188.6404,61,10.525,B
6188.6404,61,9.181,IC
6188.6404,61,8.999,RC
6188.6404,61,10.401,V
6190.6445,30,10.633,B
6190.6445,30,9.241,IC
6190.6445,30,9.082,RC
6190.6445,30,10.483,V
6195.5881,30,10.594,B
6195.5881,30,9.293,IC
6195.5881,30,9.162,RC
6195.5881,30,10.505,V
6195.6319,61,10.595,B
6195.6319,61,9.349,IC
6195.6319,61,9.140,RC
6195.6319,61,10.530,V
6198.5828,30,10.656,B
6198.5828,30,9.385,IC
6198.5828,30,9.188,RC
6198.5828,30,10.570,V
6203.6087,61,10.682,B
6203.6087,61,9.532,IC
6203.6087,61,9.300,RC
6203.6087,61,10.636,V
6208.5660,30,10.735,B
6208.5660,30,9.609,IC
6208.5660,30,9.417,RC
6208.5660,30,10.747,V
6208.5776,61,10.740,B
6208.5776,61,9.613,IC
6208.5776,61,9.402,RC
6208.5776,61,10.712,V
6217.6455,61,10.919,B
6217.6455,61,9.848,IC
6217.6455,61,9.634,RC
6217.6455,61,10.887,V
6219.6460,30,10.932,B
6219.6460,30,9.916,IC
6219.6460,30,9.693,RC
6219.6460,30,10.978,V
6221.5624,30,10.943,B
6221.5624,30,9.886,IC
6221.5624,30,9.710,RC
