#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V1500 Cyg,2442654.250,0.25,90,2.44,0.02,V
V1500 Cyg,2442654.750,0.75,103,2.13,0.02,V
V1500 Cyg,2442655.250,1.25,38,1.88,0.03,V
V1500 Cyg,2442655.750,1.75,90,1.88,0.02,V
V1500 Cyg,2442656.250,2.25,39,2.16,0.03,V
V1500 Cyg,2442656.750,2.75,90,2.41,0.03,V
V1500 Cyg,2442657.250,3.25,33,3.38,0.03,V
V1500 Cyg,2442657.750,3.75,73,3.71,0.03,V
V1500 Cyg,2442658.250,4.25,33,4.28,0.04,V
V1500 Cyg,2442658.750,4.75,81,4.41,0.02,V
V1500 Cyg,2442659.250,5.25,26,4.67,0.05,V
V1500 Cyg,2442659.750,5.75,73,4.88,0.03,V
V1500 Cyg,2442660.500,6.50,90,5.15,0.03,V
V1500 Cyg,2442661.500,7.50,69,5.49,0.04,V
V1500 Cyg,2442662.500,8.50,70,5.81,0.03,V
V1500 Cyg,2442663.500,9.50,81,6.10,0.03,V
V1500 Cyg,2442664.500,10.50,85,6.29,0.02,V
V1500 Cyg,2442665.500,11.50,78,6.46,0.02,V
V1500 Cyg,2442666.500,12.50,60,6.58,0.03,V
V1500 Cyg,2442667.500,13.50,36,6.67,0.03,V
V1500 Cyg,2442668.500,14.50,42,6.79,0.03,V
V1500 Cyg,2442669.500,15.50,60,6.86,0.03,V
V1500 Cyg,2442670.500,16.50,52,6.93,0.03,V
V1500 Cyg,2442671.500,17.50,36,6.91,0.04,V
V1500 Cyg,2442672.500,18.50,35,7.01,0.04,V
V1500 Cyg,2442673.500,19.50,39,7.13,0.03,V
V1500 Cyg,2442674.500,20.50,42,7.16,0.03,V
V1500 Cyg,2442675.500,21.50,41,7.24,0.03,V
V1500 Cyg,2442676.500,22.50,28,7.35,0.05,V
V1500 Cyg,2442677.500,23.50,45,7.39,0.04,V
V1500 Cyg,2442678.500,24.50,40,7.45,0.04,V
V1500 Cyg,2442679.500,25.50,22,7.35,0.06,V
V1500 Cyg,2442680.500,26.50,25,7.52,0.06,V
V1500 Cyg,2442681.500,27.50,34,7.63,0.04,V
V1500 Cyg,2442682.500,28.50,50,7.60,0.04,V
V1500 Cyg,2442683.500,29.50,49,7.69,0.04,V
V1500 Cyg,2442684.500,30.50,49,7.65,0.03,V
V1500 Cyg,2442685.500,31.50,49,7.73,0.04,V
V1500 Cyg,2442686.500,32.50,37,7.77,0.05,V
V1500 Cyg,2442687.500,33.50,23,7.73,0.06,V
V1500 Cyg,2442688.500,34.50,47,7.97,0.03,V
V1500 Cyg,2442689.500,35.50,43,7.86,0.04,V
V1500 Cyg,2442690.500,36.50,36,7.89,0.04,V
V1500 Cyg,2442691.500,37.50,8,7.86,0.08,V
V1500 Cyg,2442692.500,38.50,50,8.05,0.03,V
V1500 Cyg,2442693.500,39.50,38,8.07,0.04,V
V1500 Cyg,2442694.500,40.50,26,8.30,0.06,V
V1500 Cyg,2442695.500,41.50,21,8.19,0.07,V
V1500 Cyg,2442696.500,42.50,18,8.33,0.06,V
V1500 Cyg,2442697.500,43.50,35,8.19,0.05,V
V1500 Cyg,2442698.500,44.50,28,8.35,0.04,V
V1500 Cyg,2442699.500,45.50,15,8.47,0.07,V
V1500 Cyg,2442700.500,46.50,11,8.42,0.08,V
V1500 Cyg,2442701.500,47.50,18,8.53,0.05,V
V1500 Cyg,2442702.500,48.50,10,8.60,0.06,V
V1500 Cyg,2442703.500,49.50,5,8.46,0.07,V
V1500 Cyg,2442704.500,50.50,2,8.50,0.14,V
V1500 Cyg,2442705.500,51.50,6,8.55,0.15,V
V1500 Cyg,2442706.500,52.50,10,8.64,0.08,V
V1500 Cyg,2442707.500,53.50,15,8.72,0.05,V
V1500 Cyg,2442708.500,54.50,23,8.70,0.04,V
V1500 Cyg,2442709.500,55.50,36,8.73,0.04,V
V1500 Cyg,2442710.500,56.50,22,8.76,0.06,V
V1500 Cyg,2442711.500,57.50,18,8.73,0.05,V
V1500 Cyg,2442712.500,58.50,18,8.79,0.07,V
V1500 Cyg,2442713.500,59.50,22,8.71,0.04,V
V1500 Cyg,2442714.500,60.50,25,8.80,0.05,V
V1500 Cyg,2442715.500,61.50,17,8.83,0.06,V
V1500 Cyg,2442716.500,62.50,24,8.90,0.05,V
V1500 Cyg,2442717.500,63.50,27,8.93,0.05,V
V1500 Cyg,2442718.500,64.50,20,8.97,0.06,V
V1500 Cyg,2442719.500,65.50,13,8.92,0.06,V
V1500 Cyg,2442720.500,66.50,12,9.04,0.10,V
V1500 Cyg,2442721.500,67.50,32,9.00,0.05,V
V1500 Cyg,2442722.500,68.50,21,8.93,0.04,V
V1500 Cyg,2442723.500,69.50,13,8.94,0.05,V
V1500 Cyg,2442724.500,70.50,8,8.93,0.09,V
V1500 Cyg,2442725.500,71.50,20,9.02,0.06,V
V1500 Cyg,2442726.500,72.50,16,9.13,0.07,V
V1500 Cyg,2442727.500,73.50,24,9.04,0.05,V
V1500 Cyg,2442728.500,74.50,18,9.09,0.06,V
V1500 Cyg,2442729.500,75.50,4,9.23,0.14,V
V1500 Cyg,2442730.500,76.50,7,9.03,0.08,V
V1500 Cyg,2442731.500,77.50,10,9.20,0.07,V
V1500 Cyg,2442732.500,78.50,17,9.32,0.09,V
V1500 Cyg,2442733.500,79.50,13,9.25,0.10,V
V1500 Cyg,2442734.500,80.50,7,9.39,0.17,V
V1500 Cyg,2442735.500,81.50,12,9.19,0.09,V
V1500 Cyg,2442736.500,82.50,10,9.19,0.11,V
V1500 Cyg,2442737.500,83.50,11,9.35,0.08,V
V1500 Cyg,2442738.500,84.50,8,9.13,0.12,V
V1500 Cyg,2442739.500,85.50,26,9.27,0.07,V
V1500 Cyg,2442740.500,86.50,23,9.39,0.07,V
V1500 Cyg,2442741.500,87.50,17,9.35,0.07,V
V1500 Cyg,2442742.500,88.50,7,9.34,0.08,V
V1500 Cyg,2442743.500,89.50,13,9.32,0.10,V
V1500 Cyg,2442744.500,90.50,13,9.54,0.10,V
V1500 Cyg,2442745.500,91.50,18,9.52,0.09,V
V1500 Cyg,2442746.500,92.50,11,9.42,0.11,V
V1500 Cyg,2442747.500,93.50,12,9.37,0.11,V
V1500 Cyg,2442748.500,94.50,20,9.51,0.08,V
V1500 Cyg,2442749.500,95.50,18,9.47,0.08,V
V1500 Cyg,2442752.000,98.00,62,9.58,0.04,V
V1500 Cyg,2442756.000,102.00,46,9.57,0.05,V
V1500 Cyg,2442760.000,106.00,21,9.86,0.04,V
V1500 Cyg,2442764.000,110.00,26,9.86,0.05,V
V1500 Cyg,2442768.000,114.00,27,9.89,0.06,V
V1500 Cyg,2442772.000,118.00,19,9.89,0.05,V
V1500 Cyg,2442776.000,122.00,34,9.94,0.03,V
V1500 Cyg,2442780.000,126.00,26,9.99,0.04,V
V1500 Cyg,2442784.000,130.00,42,10.08,0.04,V
V1500 Cyg,2442788.000,134.00,27,10.07,0.03,V
V1500 Cyg,2442792.000,138.00,24,10.18,0.06,V
V1500 Cyg,2442796.000,142.00,37,10.15,0.04,V
V1500 Cyg,2442800.000,146.00,19,10.18,0.03,V
V1500 Cyg,2442804.000,150.00,16,10.18,0.04,V
V1500 Cyg,2442808.000,154.00,26,10.28,0.04,V
V1500 Cyg,2442812.000,158.00,19,10.28,0.04,V
