#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V1229 Aql,2440689.500,1.50,2,6.60,0.11,V
V1229 Aql,2440690.500,2.50,1,7.30,0.15,V
V1229 Aql,2440691.500,3.50,6,7.27,0.17,V
V1229 Aql,2440692.500,4.50,20,7.24,0.03,V
V1229 Aql,2440693.500,5.50,4,7.13,0.08,V
V1229 Aql,2440694.500,6.50,3,7.53,0.09,V
V1229 Aql,2440695.500,7.50,5,7.56,0.11,V
V1229 Aql,2440696.500,8.50,1,7.50,0.15,V
V1229 Aql,2440701.000,13.00,6,8.12,0.06,V
V1229 Aql,2440703.000,15.00,6,8.13,0.06,V
V1229 Aql,2440705.000,17.00,2,8.25,0.11,V
V1229 Aql,2440707.000,19.00,1,8.40,0.15,V
V1229 Aql,2440709.000,21.00,5,8.62,0.07,V
V1229 Aql,2440711.000,23.00,8,8.61,0.12,V
V1229 Aql,2440713.000,25.00,11,8.95,0.09,V
V1229 Aql,2440715.000,27.00,5,8.98,0.12,V
V1229 Aql,2440717.000,29.00,3,9.20,0.12,V
V1229 Aql,2440721.000,33.00,3,9.03,0.09,V
V1229 Aql,2440725.000,37.00,4,9.65,0.08,V
V1229 Aql,2440727.000,39.00,3,10.20,0.14,V
V1229 Aql,2440731.000,43.00,3,10.97,0.15,V
V1229 Aql,2440733.000,45.00,9,10.61,0.15,V
V1229 Aql,2440735.000,47.00,15,11.29,0.13,V
V1229 Aql,2440737.000,49.00,17,10.85,0.07,V
V1229 Aql,2440739.000,51.00,2,11.40,0.28,V
V1229 Aql,2440741.000,53.00,6,12.30,0.25,V
V1229 Aql,2440743.000,55.00,4,12.28,0.39,V
V1229 Aql,2440745.000,57.00,3,12.33,0.20,V
V1229 Aql,2440747.000,59.00,1,13.60,0.15,V
V1229 Aql,2440751.000,63.00,1,12.80,0.15,V
V1229 Aql,2440753.000,65.00,2,13.20,0.21,V
V1229 Aql,2440764.000,76.00,9,13.10,0.09,V
V1229 Aql,2440772.000,84.00,6,13.55,0.08,V
V1229 Aql,2440780.000,92.00,3,13.60,0.12,V
V1229 Aql,2440788.000,100.00,1,14.00,0.15,V
V1229 Aql,2440796.000,108.00,7,13.36,0.14,V
V1229 Aql,2440804.000,116.00,3,13.47,0.09,V
V1229 Aql,2440820.000,132.00,2,13.40,0.11,V
V1229 Aql,2440828.000,140.00,4,13.48,0.08,V
V1229 Aql,2440836.000,148.00,1,13.40,0.15,V
V1229 Aql,2440852.000,164.00,2,13.65,0.11,V
V1229 Aql,2440876.000,188.00,2,13.90,0.11,V
V1229 Aql,2441072.000,384.00,1,14.00,0.15,V
V1229 Aql,2441104.000,416.00,3,13.87,0.09,V
V1229 Aql,2441136.000,448.00,11,14.31,0.08,V
V1229 Aql,2441168.000,480.00,13,14.61,0.06,V
V1229 Aql,2441200.000,512.00,6,14.57,0.10,V
V1229 Aql,2441232.000,544.00,3,14.57,0.19,V
V1229 Aql,2441504.000,816.00,10,14.67,0.05,V
V1229 Aql,2441632.000,944.00,3,14.40,0.28,V
V1229 Aql,2441888.000,1200.00,3,15.00,0.38,V
V1229 Aql,2442272.000,1584.00,1,14.80,0.15,V
V1229 Aql,2442656.000,1968.00,4,14.90,0.09,V
V1229 Aql,2442784.000,2096.00,1,15.20,0.15,V
V1229 Aql,2443040.000,2352.00,8,14.90,0.09,V
V1229 Aql,2443296.000,2608.00,2,15.15,0.60,V
V1229 Aql,2443424.000,2736.00,2,14.35,0.25,V
V1229 Aql,2443680.000,2992.00,1,14.60,0.15,V
V1229 Aql,2443808.000,3120.00,4,14.83,0.12,V
