#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
BY Cir,2449746.300,0.30,1,7.40,0.15,V
BY Cir,2449746.800,0.80,2,7.80,0.21,V
BY Cir,2449747.300,1.30,2,7.65,0.11,V
BY Cir,2449749.300,3.30,3,8.00,0.09,V
BY Cir,2449751.000,5.00,5,8.22,0.07,V
BY Cir,2449753.000,7.00,12,8.58,0.09,V
BY Cir,2449755.000,9.00,7,8.39,0.06,V
BY Cir,2449757.000,11.00,11,8.55,0.06,V
BY Cir,2449759.000,13.00,18,8.70,0.06,V
BY Cir,2449761.000,15.00,12,8.97,0.04,V
BY Cir,2449763.000,17.00,15,9.07,0.05,V
BY Cir,2449765.000,19.00,8,9.04,0.05,V
BY Cir,2449767.000,21.00,4,9.03,0.08,V
BY Cir,2449769.000,23.00,9,9.07,0.05,V
BY Cir,2449771.000,25.00,5,9.22,0.07,V
BY Cir,2449773.000,27.00,9,9.19,0.05,V
BY Cir,2449775.000,29.00,6,9.45,0.17,V
BY Cir,2449777.000,31.00,8,9.50,0.14,V
BY Cir,2449779.000,33.00,7,9.40,0.08,V
BY Cir,2449781.000,35.00,12,9.24,0.03,V
BY Cir,2449783.000,37.00,10,9.42,0.07,V
BY Cir,2449785.000,39.00,11,9.47,0.04,V
BY Cir,2449787.000,41.00,6,9.62,0.11,V
BY Cir,2449789.000,43.00,6,9.43,0.06,V
BY Cir,2449791.000,45.00,5,9.80,0.15,V
BY Cir,2449793.000,47.00,8,9.74,0.07,V
BY Cir,2449795.000,49.00,5,9.44,0.07,V
BY Cir,2449797.000,51.00,5,9.58,0.07,V
BY Cir,2449799.000,53.00,5,9.60,0.10,V
BY Cir,2449801.000,55.00,5,9.70,0.07,V
BY Cir,2449803.000,57.00,2,9.60,0.14,V
BY Cir,2449805.000,59.00,3,9.77,0.09,V
BY Cir,2449807.000,61.00,3,9.90,0.09,V
BY Cir,2449809.000,63.00,4,9.53,0.08,V
BY Cir,2449811.000,65.00,6,9.88,0.12,V
BY Cir,2449813.000,67.00,3,9.97,0.20,V
BY Cir,2449815.000,69.00,6,9.73,0.10,V
BY Cir,2449817.000,71.00,2,9.70,0.21,V
BY Cir,2449819.000,73.00,6,9.77,0.08,V
BY Cir,2449821.000,75.00,4,9.93,0.12,V
BY Cir,2449823.000,77.00,2,9.60,0.11,V
BY Cir,2449825.000,79.00,1,9.80,0.15,V
BY Cir,2449827.000,81.00,6,10.03,0.15,V
BY Cir,2449829.000,83.00,5,10.14,0.22,V
BY Cir,2449831.000,85.00,6,10.13,0.16,V
BY Cir,2449833.000,87.00,4,10.35,0.20,V
BY Cir,2449835.000,89.00,8,10.16,0.14,V
BY Cir,2449837.000,91.00,3,9.87,0.09,V
BY Cir,2449839.000,93.00,3,10.23,0.24,V
BY Cir,2449841.000,95.00,5,10.24,0.09,V
BY Cir,2449843.000,97.00,6,10.17,0.10,V
BY Cir,2449845.000,99.00,3,10.43,0.37,V
BY Cir,2449847.000,101.00,9,10.28,0.07,V
BY Cir,2449849.000,103.00,3,10.43,0.24,V
BY Cir,2449854.000,108.00,12,10.43,0.10,V
BY Cir,2449862.000,116.00,14,10.22,0.07,V
BY Cir,2449870.000,124.00,24,10.50,0.08,V
BY Cir,2449878.000,132.00,12,10.56,0.08,V
BY Cir,2449886.000,140.00,15,10.63,0.08,V
BY Cir,2449894.000,148.00,19,10.64,0.06,V
BY Cir,2449902.000,156.00,15,10.81,0.08,V
BY Cir,2449910.000,164.00,10,10.74,0.09,V
BY Cir,2449918.000,172.00,15,11.05,0.10,V
BY Cir,2449926.000,180.00,17,10.95,0.07,V
BY Cir,2449934.000,188.00,12,11.23,0.06,V
BY Cir,2449942.000,196.00,11,11.02,0.09,V
BY Cir,2449950.000,204.00,10,10.90,0.08,V
BY Cir,2449958.000,212.00,8,10.78,0.10,V
BY Cir,2449966.000,220.00,8,11.06,0.08,V
BY Cir,2449974.000,228.00,5,10.78,0.16,V
BY Cir,2449982.000,236.00,3,11.17,0.12,V
BY Cir,2449990.000,244.00,11,11.11,0.07,V
BY Cir,2449998.000,252.00,1,10.90,0.15,V
BY Cir,2450014.000,268.00,2,10.90,0.11,V
BY Cir,2450030.000,284.00,1,11.00,0.15,V
BY Cir,2450038.000,292.00,1,11.20,0.15,V
BY Cir,2450046.000,300.00,2,11.25,0.11,V
BY Cir,2450070.000,324.00,1,11.90,0.15,V
BY Cir,2450078.000,332.00,4,11.95,0.08,V
BY Cir,2450086.000,340.00,1,12.00,0.15,V
BY Cir,2450102.000,356.00,5,12.20,0.07,V
BY Cir,2450110.000,364.00,1,12.30,0.15,V
BY Cir,2450118.000,372.00,1,12.30,0.15,V
BY Cir,2450126.000,380.00,1,12.30,0.15,V
BY Cir,2450134.000,388.00,2,12.35,0.11,V
BY Cir,2450142.000,396.00,4,12.40,0.08,V
BY Cir,2450150.000,404.00,5,12.64,0.07,V
BY Cir,2450158.000,412.00,3,12.57,0.09,V
BY Cir,2450166.000,420.00,3,12.43,0.09,V
BY Cir,2450174.000,428.00,1,12.90,0.15,V
BY Cir,2450182.000,436.00,2,12.60,0.11,V
BY Cir,2450190.000,444.00,4,12.55,0.08,V
BY Cir,2450198.000,452.00,5,12.42,0.16,V
BY Cir,2450214.000,468.00,5,12.46,0.12,V
BY Cir,2450222.000,476.00,4,12.45,0.08,V
BY Cir,2450230.000,484.00,1,12.30,0.15,V
BY Cir,2450238.000,492.00,2,12.40,0.11,V
BY Cir,2450246.000,500.00,6,12.48,0.08,V
BY Cir,2450254.000,508.00,3,12.40,0.09,V
BY Cir,2450262.000,516.00,1,12.40,0.15,V
BY Cir,2450270.000,524.00,2,12.40,0.11,V
BY Cir,2450278.000,532.00,7,12.59,0.14,V
BY Cir,2450286.000,540.00,2,12.45,0.11,V
BY Cir,2450302.000,556.00,4,12.48,0.08,V
BY Cir,2450310.000,564.00,2,12.50,0.11,V
BY Cir,2450318.000,572.00,1,12.50,0.15,V
BY Cir,2450326.000,580.00,3,12.87,0.26,V
BY Cir,2450334.000,588.00,1,12.50,0.15,V
BY Cir,2450342.000,596.00,1,12.50,0.15,V
BY Cir,2450350.000,604.00,1,12.80,0.15,V
BY Cir,2450366.000,620.00,1,12.80,0.15,V
BY Cir,2450374.000,628.00,1,13.00,0.15,V
BY Cir,2450390.000,644.00,2,14.00,0.11,V
BY Cir,2450422.000,676.00,1,13.80,0.15,V
BY Cir,2450430.000,684.00,1,13.80,0.15,V
BY Cir,2450454.000,708.00,3,13.80,0.01,V
BY Cir,2450462.000,716.00,2,13.80,0.11,V
BY Cir,2450478.000,732.00,1,14.00,0.15,V
BY Cir,2450486.000,740.00,3,13.93,0.09,V
BY Cir,2450494.000,748.00,5,13.96,0.07,V
BY Cir,2450510.000,764.00,1,13.90,0.15,V
BY Cir,2450518.000,772.00,2,14.00,0.11,V
BY Cir,2450526.000,780.00,3,14.00,0.09,V
BY Cir,2450534.000,788.00,1,13.90,0.15,V
BY Cir,2450542.000,796.00,2,14.10,0.11,V
BY Cir,2450550.000,804.00,2,14.00,0.11,V
BY Cir,2450566.000,820.00,1,14.20,0.15,V
BY Cir,2450574.000,828.00,1,14.20,0.15,V
BY Cir,2450598.000,852.00,2,14.40,0.14,V
BY Cir,2450606.000,860.00,1,14.50,0.15,V
BY Cir,2450630.000,884.00,2,14.75,0.11,V
BY Cir,2450638.000,892.00,1,14.40,0.15,V
BY Cir,2450654.000,908.00,1,14.60,0.15,V
BY Cir,2450662.000,916.00,3,14.90,0.09,V
BY Cir,2450686.000,940.00,2,14.95,0.11,V
BY Cir,2450694.000,948.00,1,15.00,0.15,V
BY Cir,2450710.000,964.00,1,15.10,0.15,V
BY Cir,2450718.000,972.00,1,15.00,0.15,V
BY Cir,2450726.000,980.00,1,15.10,0.15,V
