#Name,n_Name,JD,Band,l_mag,mag,e_mag,Source
V394 CrA,e,2447011.00000,V,,10.500,0.15,AAVSO
V394 CrA,e,2447012.00000,V,,10.600,0.15,AAVSO
V394 CrA,e,2447012.94400,V,,10.000,0.15,AAVSO
V394 CrA,e,2447013.10000,V,,10.700,0.15,AAVSO
V394 CrA,q,2447715.85170,B,,19.180,0.03,CTIO 0.9-m
V394 CrA,q,2447716.56330,B,,19.140,0.03,CTIO 0.9-m
V394 CrA,q,2447716.59780,B,,19.190,0.03,CTIO 0.9-m
V394 CrA,q,2447716.60540,B,,19.240,0.03,CTIO 0.9-m
V394 CrA,q,2447716.61290,B,,19.180,0.03,CTIO 0.9-m
V394 CrA,q,2447716.71970,B,,19.290,0.03,CTIO 0.9-m
V394 CrA,q,2447716.72760,B,,19.310,0.03,CTIO 0.9-m
V394 CrA,q,2447716.73520,B,,19.280,0.03,CTIO 0.9-m
V394 CrA,q,2447716.81040,B,,19.370,0.03,CTIO 0.9-m
V394 CrA,q,2447716.81830,B,,19.340,0.03,CTIO 0.9-m
V394 CrA,q,2447716.82590,B,,19.370,0.03,CTIO 0.9-m
V394 CrA,q,2447716.83250,B,,19.400,0.03,CTIO 0.9-m
V394 CrA,q,2447716.84060,B,,19.400,0.03,CTIO 0.9-m
V394 CrA,q,2447716.84800,B,,19.460,0.03,CTIO 0.9-m
V394 CrA,q,2447717.79920,B,,20.270,0.03,CTIO 0.9-m
V394 CrA,q,2447717.81680,B,,20.340,0.03,CTIO 0.9-m
V394 CrA,q,2447717.82530,B,,20.490,0.03,CTIO 0.9-m
V394 CrA,q,2447717.83260,B,,20.230,0.03,CTIO 0.9-m
V394 CrA,q,2447717.84000,B,,20.200,0.03,CTIO 0.9-m
V394 CrA,q,2447718.49550,B,,19.410,0.03,CTIO 0.9-m
V394 CrA,q,2447718.50320,B,,19.480,0.03,CTIO 0.9-m
V394 CrA,q,2447718.59000,B,,19.560,0.03,CTIO 0.9-m
V394 CrA,q,2447718.59780,V,,18.660,0.05,CTIO 0.9-m
V394 CrA,q,2447718.60580,U,,19.110,0.09,CTIO 0.9-m
V394 CrA,q,2447718.61380,B,,19.540,0.03,CTIO 0.9-m
V394 CrA,q,2447718.74290,B,,19.420,0.03,CTIO 0.9-m
V394 CrA,q,2447719.53860,B,,19.300,0.03,CTIO 0.9-m
V394 CrA,q,2447719.61980,B,,19.310,0.03,CTIO 0.9-m
V394 CrA,q,2447719.62820,B,,19.270,0.03,CTIO 0.9-m
V394 CrA,q,2447719.63600,B,,19.210,0.03,CTIO 0.9-m
V394 CrA,q,2447719.64350,B,,19.200,0.03,CTIO 0.9-m
V394 CrA,q,2447720.73350,B,,19.400,0.03,CTIO 0.9-m
V394 CrA,q,2447721.54980,B,,19.590,0.03,CTIO 0.9-m
V394 CrA,q,2447721.62030,B,,19.900,0.03,CTIO 0.9-m
V394 CrA,q,2447721.62820,B,,19.890,0.03,CTIO 0.9-m
V394 CrA,q,2447721.63630,B,,19.800,0.03,CTIO 0.9-m
V394 CrA,q,2447721.64510,B,,19.820,0.03,CTIO 0.9-m
V394 CrA,q,2447721.65260,B,,19.770,0.03,CTIO 0.9-m
V394 CrA,q,2447721.68580,B,,19.810,0.03,CTIO 0.9-m
V394 CrA,q,2447721.69780,B,,19.710,0.03,CTIO 0.9-m
V394 CrA,q,2447721.70530,B,,19.750,0.03,CTIO 0.9-m
V394 CrA,q,2447721.73550,B,,19.660,0.03,CTIO 0.9-m
V394 CrA,q,2447721.78920,B,,19.590,0.03,CTIO 0.9-m
V394 CrA,q,2447721.84620,B,,19.540,0.03,CTIO 0.9-m
V394 CrA,q,2447722.65470,B,,19.650,0.03,CTIO 0.9-m
V394 CrA,q,2447722.75340,B,,19.400,0.03,CTIO 0.9-m
V394 CrA,q,2447722.79240,B,,19.440,0.03,CTIO 0.9-m
V394 CrA,q,2447722.80010,B,,19.430,0.03,CTIO 0.9-m
V394 CrA,q,2447722.80750,B,,19.290,0.03,CTIO 0.9-m
V394 CrA,q,2447722.86130,B,,19.420,0.03,CTIO 0.9-m
V394 CrA,q,2447722.86920,B,,19.390,0.03,CTIO 0.9-m
V394 CrA,q,2447722.87660,B,,19.370,0.03,CTIO 0.9-m
V394 CrA,q,2447722.88410,B,,19.390,0.03,CTIO 0.9-m
V394 CrA,q,2447723.52900,B,,19.830,0.03,CTIO 0.9-m
V394 CrA,q,2447723.53340,B,,19.720,0.03,CTIO 0.9-m
V394 CrA,q,2447723.59920,B,,19.330,0.03,CTIO 0.9-m
V394 CrA,q,2447723.65520,B,,19.390,0.03,CTIO 0.9-m
V394 CrA,q,2447724.52930,B,,19.840,0.03,CTIO 0.9-m
V394 CrA,q,2447724.54380,B,,19.840,0.03,CTIO 0.9-m
V394 CrA,q,2447724.55210,B,,19.730,0.03,CTIO 0.9-m
V394 CrA,q,2447724.55950,B,,19.780,0.03,CTIO 0.9-m
V394 CrA,q,2447725.51210,B,,19.980,0.03,CTIO 0.9-m
V394 CrA,q,2447725.52740,B,,19.830,0.03,CTIO 0.9-m
V394 CrA,q,2447725.53590,B,,19.900,0.03,CTIO 0.9-m
V394 CrA,q,2447725.56150,B,,19.840,0.03,CTIO 0.9-m
V394 CrA,q,2447725.57000,B,,19.700,0.03,CTIO 0.9-m
V394 CrA,q,2447725.63500,B,,19.430,0.03,CTIO 0.9-m
V394 CrA,q,2447725.64410,B,,19.220,0.03,CTIO 0.9-m
V394 CrA,q,2447725.65180,B,,19.120,0.03,CTIO 0.9-m
V394 CrA,q,2447725.65920,B,,19.090,0.03,CTIO 0.9-m
V394 CrA,q,2447725.66670,B,,19.100,0.03,CTIO 0.9-m
V394 CrA,q,2447725.67440,B,,18.950,0.03,CTIO 0.9-m
V394 CrA,q,2447725.68180,B,,19.000,0.03,CTIO 0.9-m
V394 CrA,q,2447725.68920,B,,18.920,0.03,CTIO 0.9-m
V394 CrA,q,2447725.70000,B,,19.140,0.03,CTIO 0.9-m
V394 CrA,q,2447725.70740,B,,19.110,0.03,CTIO 0.9-m
V394 CrA,q,2447725.71480,B,,19.240,0.03,CTIO 0.9-m
V394 CrA,q,2447725.72230,B,,19.260,0.03,CTIO 0.9-m
V394 CrA,q,2447725.73310,B,,19.400,0.03,CTIO 0.9-m
V394 CrA,q,2447725.74050,B,,19.380,0.03,CTIO 0.9-m
V394 CrA,q,2447725.74830,B,,19.240,0.03,CTIO 0.9-m
V394 CrA,q,2447725.75580,B,,19.130,0.03,CTIO 0.9-m
V394 CrA,q,2447725.76310,B,,19.070,0.03,CTIO 0.9-m
V394 CrA,q,2447725.77090,B,,19.030,0.03,CTIO 0.9-m
V394 CrA,q,2447725.77830,B,,19.230,0.03,CTIO 0.9-m
V394 CrA,q,2447725.78580,B,,19.200,0.03,CTIO 0.9-m
V394 CrA,q,2447725.79350,B,,19.260,0.03,CTIO 0.9-m
V394 CrA,q,2447725.80080,B,,18.950,0.03,CTIO 0.9-m
V394 CrA,q,2447725.80830,B,,19.110,0.03,CTIO 0.9-m
V394 CrA,q,2447725.81640,B,,19.010,0.03,CTIO 0.9-m
V394 CrA,q,2447725.82380,B,,19.090,0.03,CTIO 0.9-m
V394 CrA,q,2447725.83310,B,,19.170,0.03,CTIO 0.9-m
V394 CrA,q,2447725.83990,B,,18.900,0.03,CTIO 0.9-m
V394 CrA,q,2447726.47440,B,,19.780,0.03,CTIO 0.9-m
V394 CrA,q,2447726.48220,B,,19.440,0.03,CTIO 0.9-m
V394 CrA,q,2447726.48960,B,,19.500,0.03,CTIO 0.9-m
V394 CrA,q,2447726.49700,B,,19.460,0.03,CTIO 0.9-m
V394 CrA,q,2447726.50440,B,,19.460,0.03,CTIO 0.9-m
V394 CrA,q,2447726.51180,B,,19.440,0.03,CTIO 0.9-m
V394 CrA,q,2447726.51850,B,,19.360,0.03,CTIO 0.9-m
V394 CrA,q,2447726.55570,B,,19.400,0.03,CTIO 0.9-m
V394 CrA,q,2447726.57190,B,,19.230,0.03,CTIO 0.9-m
V394 CrA,q,2447726.57960,B,,19.370,0.03,CTIO 0.9-m
V394 CrA,q,2447726.58700,B,,19.540,0.03,CTIO 0.9-m
V394 CrA,q,2447726.59440,B,,19.470,0.03,CTIO 0.9-m
V394 CrA,q,2447726.60150,B,,19.240,0.03,CTIO 0.9-m
V394 CrA,q,2447726.60960,B,,19.470,0.03,CTIO 0.9-m
V394 CrA,q,2447726.61700,B,,19.310,0.03,CTIO 0.9-m
V394 CrA,q,2447726.62490,B,,19.340,0.03,CTIO 0.9-m
V394 CrA,q,2447726.63240,B,,19.260,0.03,CTIO 0.9-m
V394 CrA,q,2447726.63980,B,,19.470,0.03,CTIO 0.9-m
V394 CrA,q,2447726.68020,B,,19.840,0.03,CTIO 0.9-m
V394 CrA,q,2447726.68780,B,,20.430,0.03,CTIO 0.9-m
V394 CrA,q,2447726.69510,B,,20.250,0.03,CTIO 0.9-m
V394 CrA,q,2447727.76770,B,,19.480,0.03,CTIO 0.9-m
V394 CrA,q,2447727.77520,B,,19.470,0.03,CTIO 0.9-m
V394 CrA,q,2447727.78310,B,,19.540,0.03,CTIO 0.9-m
