#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V373 Sct,2442529.500,0.50,1,9.40,0.15,V
V373 Sct,2442542.500,13.50,1,6.10,0.15,V
V373 Sct,2442549.500,20.50,1,7.80,0.15,V
V373 Sct,2442550.500,21.50,1,8.40,0.15,V
V373 Sct,2442551.500,22.50,1,7.80,0.15,V
V373 Sct,2442564.500,35.50,1,7.70,0.15,V
V373 Sct,2442573.500,44.50,1,7.30,0.15,V
V373 Sct,2442574.500,45.50,1,7.20,0.15,V
V373 Sct,2442578.500,49.50,1,7.90,0.15,V
V373 Sct,2442582.500,53.50,3,9.67,0.14,V
V373 Sct,2442583.500,54.50,1,9.00,0.15,V
V373 Sct,2442584.500,55.50,9,8.36,0.06,V
V373 Sct,2442585.500,56.50,4,8.20,0.08,V
V373 Sct,2442586.500,57.50,2,8.40,0.21,V
V373 Sct,2442587.500,58.50,4,8.15,0.11,V
V373 Sct,2442588.500,59.50,5,7.86,0.07,V
V373 Sct,2442589.500,60.50,10,8.36,0.11,V
V373 Sct,2442590.500,61.50,6,8.93,0.16,V
V373 Sct,2442591.500,62.50,4,9.50,0.20,V
V373 Sct,2442592.500,63.50,11,9.25,0.12,V
V373 Sct,2442593.500,64.50,9,9.43,0.14,V
V373 Sct,2442594.500,65.50,20,9.38,0.07,V
V373 Sct,2442595.500,66.50,17,9.40,0.08,V
V373 Sct,2442596.500,67.50,13,9.31,0.08,V
V373 Sct,2442597.500,68.50,19,9.43,0.04,V
V373 Sct,2442598.500,69.50,25,9.49,0.05,V
V373 Sct,2442599.500,70.50,23,8.74,0.06,V
V373 Sct,2442600.500,71.50,10,9.20,0.08,V
V373 Sct,2442601.500,72.50,12,9.47,0.07,V
V373 Sct,2442602.500,73.50,10,9.51,0.07,V
V373 Sct,2442603.500,74.50,14,9.44,0.05,V
V373 Sct,2442604.500,75.50,10,9.67,0.08,V
V373 Sct,2442605.500,76.50,16,9.50,0.06,V
V373 Sct,2442606.500,77.50,9,9.89,0.14,V
V373 Sct,2442607.500,78.50,7,9.59,0.11,V
V373 Sct,2442608.500,79.50,14,9.86,0.05,V
V373 Sct,2442609.500,80.50,21,9.56,0.05,V
V373 Sct,2442610.500,81.50,15,9.77,0.04,V
V373 Sct,2442611.500,82.50,20,9.66,0.03,V
V373 Sct,2442612.500,83.50,9,9.31,0.07,V
V373 Sct,2442613.500,84.50,3,9.53,0.09,V
V373 Sct,2442614.500,85.50,2,9.55,0.11,V
V373 Sct,2442615.500,86.50,10,9.72,0.06,V
V373 Sct,2442616.500,87.50,13,9.32,0.06,V
V373 Sct,2442617.500,88.50,3,9.60,0.12,V
V373 Sct,2442618.500,89.50,11,9.44,0.06,V
V373 Sct,2442619.500,90.50,15,8.96,0.08,V
V373 Sct,2442620.500,91.50,38,9.02,0.03,V
V373 Sct,2442621.500,92.50,25,9.40,0.03,V
V373 Sct,2442622.500,93.50,31,9.40,0.03,V
V373 Sct,2442623.500,94.50,27,9.61,0.04,V
V373 Sct,2442624.500,95.50,38,9.68,0.03,V
V373 Sct,2442625.500,96.50,7,10.01,0.12,V
V373 Sct,2442626.500,97.50,17,10.06,0.06,V
V373 Sct,2442627.500,98.50,17,10.27,0.07,V
V373 Sct,2442628.500,99.50,16,10.15,0.06,V
V373 Sct,2442629.500,100.50,15,10.15,0.09,V
V373 Sct,2442632.000,103.00,79,10.20,0.03,V
V373 Sct,2442636.000,107.00,49,10.27,0.04,V
V373 Sct,2442640.000,111.00,22,10.30,0.06,V
V373 Sct,2442644.000,115.00,22,10.55,0.07,V
V373 Sct,2442648.000,119.00,16,10.47,0.04,V
V373 Sct,2442652.000,123.00,53,10.45,0.04,V
V373 Sct,2442656.000,127.00,30,10.36,0.04,V
V373 Sct,2442660.000,131.00,47,10.66,0.04,V
V373 Sct,2442664.000,135.00,49,10.70,0.05,V
V373 Sct,2442668.000,139.00,25,10.90,0.06,V
V373 Sct,2442672.000,143.00,8,11.10,0.12,V
V373 Sct,2442676.000,147.00,11,10.94,0.12,V
V373 Sct,2442680.000,151.00,18,10.98,0.06,V
V373 Sct,2442686.000,157.00,74,11.17,0.04,V
V373 Sct,2442694.000,165.00,56,11.26,0.04,V
V373 Sct,2442702.000,173.00,15,11.18,0.08,V
V373 Sct,2442710.000,181.00,43,11.48,0.06,V
V373 Sct,2442718.000,189.00,30,11.53,0.07,V
V373 Sct,2442726.000,197.00,14,11.71,0.08,V
V373 Sct,2442734.000,205.00,3,11.67,0.14,V
V373 Sct,2442742.000,213.00,10,11.71,0.11,V
V373 Sct,2442750.000,221.00,6,11.80,0.22,V
V373 Sct,2442826.000,297.00,1,12.60,0.15,V
V373 Sct,2442842.000,313.00,2,12.95,0.32,V
V373 Sct,2442858.000,329.00,1,13.50,0.15,V
V373 Sct,2442874.000,345.00,1,13.50,0.15,V
V373 Sct,2442906.000,377.00,4,13.78,0.14,V
V373 Sct,2442922.000,393.00,1,13.80,0.15,V
V373 Sct,2442954.000,425.00,6,13.93,0.07,V
V373 Sct,2442978.000,449.00,9,13.90,0.10,V
V373 Sct,2443010.000,481.00,10,14.02,0.10,V
V373 Sct,2443042.000,513.00,8,14.23,0.09,V
V373 Sct,2443074.000,545.00,6,14.37,0.06,V
V373 Sct,2443442.000,913.00,1,15.40,0.15,V
V373 Sct,2443762.000,1233.00,1,14.30,0.15,V
V373 Sct,2444402.000,1873.00,1,16.50,0.15,V
