#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V4739 Sgr,2452148.250,0.25,5,7.38,0.07,V
V4739 Sgr,2452148.750,0.75,20,7.24,0.10,V
V4739 Sgr,2452149.250,1.25,2,8.03,0.11,V
V4739 Sgr,2452149.750,1.75,40,8.58,0.05,V
V4739 Sgr,2452150.250,2.25,5,8.94,0.07,V
V4739 Sgr,2452150.750,2.75,15,9.45,0.06,V
V4739 Sgr,2452151.250,3.25,4,9.95,0.12,V
V4739 Sgr,2452151.750,3.75,15,10.21,0.04,V
V4739 Sgr,2452152.250,4.25,3,10.27,0.20,V
V4739 Sgr,2452152.750,4.75,4,10.83,0.09,V
V4739 Sgr,2452153.250,5.25,3,10.90,0.09,V
V4739 Sgr,2452153.750,5.75,5,10.86,0.07,V
V4739 Sgr,2452154.750,6.75,3,11.10,0.12,V
V4739 Sgr,2452156.000,8.00,8,11.41,0.08,V
V4739 Sgr,2452158.000,10.00,11,12.11,0.10,V
V4739 Sgr,2452160.000,12.00,15,12.48,0.03,V
V4739 Sgr,2452162.000,14.00,5,12.62,0.07,V
V4739 Sgr,2452164.000,16.00,2,12.75,0.18,V
V4739 Sgr,2452166.000,18.00,11,13.23,0.03,V
V4739 Sgr,2452168.000,20.00,10,13.80,0.02,V
V4739 Sgr,2452170.000,22.00,4,13.75,0.14,V
V4739 Sgr,2452172.000,24.00,11,13.47,0.07,V
V4739 Sgr,2452176.000,28.00,2,14.40,0.11,V
