#FILENAME,WAVELENGTH COL NUM,FLUX COL NUM,FLUX ERR COL NUM,FLUX UNITS,DATE,OBSERVER,TELESCOPE,INSTRUMENT,DISPERSION,WAVELENGTH RANGE 1,WAVELENGTH RANGE 2
V868CENC_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44837e+06,Williams,CTIO 1 m,2D-Frutti,8.303357,3321.00000,11034.81865
V868CENM_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44907e+06,Williams,CTIO 1 m,2D-Frutti,8.28589057922368,2963.85791,7695.10143
V868CENA_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44835e+06,Williams,CTIO 1 m,2D-Frutti,7.834109,3396.00000,10775.73068
V868CENG_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44842e+06,Williams,CTIO 1 m,2D-Frutti,3.571587,3650.00000,10025.28279
V868CENJ_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44869e+06,Williams,CTIO 1 m,2D-Frutti,8.283712,3000.00000,7729.99955
V868CENN_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4491e+06,Williams,CTIO 1 m,2D-Frutti,3.577703,3222.00000,10463.27087
V868CENH_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44844e+06,Williams,CTIO 1 m,2D-Frutti,7.876378,3181.00000,10742.32288
V868CENE_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44838e+06,Williams,CTIO 1 m,2D-Frutti,7.884728,3740.00000,10773.17738
V868CENF_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44839e+06,Williams,CTIO 1 m,2D-Frutti,8.300816,2929.66800,7686.03557
V868CENL_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44902e+06,Williams,CTIO 1 m,2D-Frutti,3.234834,3712.00000,10191.37250
V868CENK_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44883e+06,Williams,CTIO 1 m,2D-Frutti,3.583661,3264.00000,10248.55529
V868CENB_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44837e+06,Williams,CTIO 1 m,2D-Frutti,8.289248,2934.65100,7667.81161
V868CENI_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44863e+06,Williams,CTIO 1 m,2D-Frutti,3.556927,3239.00000,10555.59884
V868CEND_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44838e+06,Williams,CTIO 1 m,2D-Frutti,2.33574676513672,3380.00000,6927.99934
