#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
HR Del,2439646.000,1.00,1,11.90,0.15,V
HR Del,2439650.000,5.00,1,11.90,0.15,V
HR Del,2439652.000,7.00,1,11.80,0.15,V
HR Del,2439658.000,13.00,1,8.80,0.15,V
HR Del,2439662.000,17.00,1,8.30,0.15,V
HR Del,2439666.000,21.00,2,6.70,0.11,V
HR Del,2439672.000,27.00,2,6.25,0.11,V
HR Del,2439676.000,31.00,1,5.80,0.15,V
HR Del,2439682.000,37.00,7,5.51,0.06,V
HR Del,2439684.000,39.00,40,5.65,0.03,V
HR Del,2439686.000,41.00,50,5.57,0.04,V
HR Del,2439688.000,43.00,58,5.63,0.03,V
HR Del,2439690.000,45.00,39,5.64,0.05,V
HR Del,2439692.000,47.00,37,5.51,0.05,V
HR Del,2439694.000,49.00,52,5.55,0.04,V
HR Del,2439696.000,51.00,54,5.52,0.03,V
HR Del,2439698.000,53.00,70,5.54,0.03,V
HR Del,2439700.000,55.00,54,5.55,0.03,V
HR Del,2439702.000,57.00,62,5.47,0.03,V
HR Del,2439704.000,59.00,64,5.51,0.03,V
HR Del,2439706.000,61.00,39,5.56,0.03,V
HR Del,2439708.000,63.00,67,5.51,0.03,V
HR Del,2439710.000,65.00,61,5.51,0.02,V
HR Del,2439712.000,67.00,47,5.55,0.03,V
HR Del,2439714.000,69.00,61,5.47,0.03,V
HR Del,2439716.000,71.00,45,5.44,0.03,V
HR Del,2439718.000,73.00,53,5.40,0.03,V
HR Del,2439720.000,75.00,30,5.38,0.04,V
HR Del,2439722.000,77.00,21,5.37,0.05,V
HR Del,2439724.000,79.00,48,5.35,0.04,V
HR Del,2439726.000,81.00,48,5.21,0.03,V
HR Del,2439728.000,83.00,30,5.04,0.05,V
HR Del,2439730.000,85.00,34,4.96,0.05,V
HR Del,2439732.000,87.00,89,4.89,0.02,V
HR Del,2439734.000,89.00,69,4.97,0.04,V
HR Del,2439736.000,91.00,96,4.96,0.03,V
HR Del,2439738.000,93.00,98,4.95,0.02,V
HR Del,2439740.000,95.00,127,4.91,0.02,V
HR Del,2439742.000,97.00,78,5.00,0.02,V
HR Del,2439744.000,99.00,78,4.94,0.03,V
HR Del,2439746.000,101.00,70,4.88,0.02,V
HR Del,2439748.000,103.00,57,4.89,0.03,V
HR Del,2439750.000,105.00,40,4.87,0.03,V
HR Del,2439752.000,107.00,51,4.80,0.03,V
HR Del,2439754.000,109.00,61,4.75,0.02,V
