#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
T Pyx,2439467.250,0.25,2,12.80,0.11,V
T Pyx,2439468.750,1.75,6,9.22,0.06,V
T Pyx,2439469.250,2.25,3,9.07,0.11,V
T Pyx,2439470.250,3.25,1,8.50,0.15,V
T Pyx,2439470.750,3.75,1,8.20,0.15,V
T Pyx,2439472.250,5.25,2,8.50,0.11,V
T Pyx,2439472.750,5.75,1,7.70,0.15,V
T Pyx,2439473.750,6.75,1,7.90,0.15,V
T Pyx,2439474.250,7.25,2,7.85,0.11,V
T Pyx,2439474.750,7.75,1,7.70,0.15,V
T Pyx,2439477.000,10.00,9,7.79,0.05,V
T Pyx,2439481.000,14.00,10,7.86,0.07,V
T Pyx,2439485.000,18.00,14,7.85,0.03,V
T Pyx,2439489.000,22.00,9,7.64,0.10,V
T Pyx,2439493.000,26.00,17,7.56,0.10,V
T Pyx,2439497.000,30.00,15,7.23,0.14,V
T Pyx,2439501.000,34.00,20,6.77,0.09,V
T Pyx,2439505.000,38.00,25,7.18,0.12,V
T Pyx,2439509.000,42.00,13,7.59,0.10,V
T Pyx,2439513.000,46.00,14,7.41,0.07,V
T Pyx,2439517.000,50.00,9,7.69,0.08,V
T Pyx,2439521.000,54.00,17,7.73,0.04,V
T Pyx,2439525.000,58.00,16,7.77,0.06,V
T Pyx,2439529.000,62.00,20,7.91,0.07,V
T Pyx,2439533.000,66.00,22,8.27,0.04,V
T Pyx,2439537.000,70.00,21,8.62,0.04,V
T Pyx,2439541.000,74.00,19,8.59,0.07,V
T Pyx,2439545.000,78.00,17,8.75,0.07,V
T Pyx,2439549.000,82.00,16,8.84,0.07,V
T Pyx,2439553.000,86.00,18,8.82,0.04,V
T Pyx,2439557.000,90.00,8,8.89,0.12,V
T Pyx,2439561.000,94.00,21,8.86,0.07,V
T Pyx,2439565.000,98.00,19,9.07,0.08,V
T Pyx,2439569.000,102.00,11,9.05,0.10,V
T Pyx,2439573.000,106.00,13,9.32,0.12,V
T Pyx,2439577.000,110.00,13,9.47,0.07,V
T Pyx,2439581.000,114.00,12,9.64,0.06,V
T Pyx,2439585.000,118.00,11,9.66,0.10,V
T Pyx,2439589.000,122.00,7,9.67,0.16,V
T Pyx,2439593.000,126.00,8,10.09,0.10,V
T Pyx,2439597.000,130.00,14,10.47,0.08,V
T Pyx,2439601.000,134.00,6,10.67,0.13,V
T Pyx,2439605.000,138.00,10,11.49,0.15,V
T Pyx,2439609.000,142.00,7,11.74,0.10,V
T Pyx,2439613.000,146.00,9,11.86,0.06,V
T Pyx,2439617.000,150.00,5,11.60,0.27,V
T Pyx,2439621.000,154.00,6,11.98,0.06,V
T Pyx,2439627.000,160.00,12,11.98,0.09,V
T Pyx,2439635.000,168.00,7,12.11,0.06,V
T Pyx,2439643.000,176.00,13,12.24,0.03,V
T Pyx,2439651.000,184.00,7,12.30,0.06,V
T Pyx,2439659.000,192.00,8,12.30,0.05,V
T Pyx,2439667.000,200.00,7,12.26,0.06,V
T Pyx,2439675.000,208.00,10,12.32,0.05,V
T Pyx,2439683.000,216.00,9,12.54,0.15,V
T Pyx,2439691.000,224.00,2,12.40,0.11,V
T Pyx,2439699.000,232.00,1,12.50,0.15,V
T Pyx,2439707.000,240.00,3,13.03,0.09,V
T Pyx,2439715.000,248.00,2,13.30,0.11,V
T Pyx,2439731.000,264.00,2,13.10,0.11,V
T Pyx,2439739.000,272.00,1,13.40,0.15,V
T Pyx,2439747.000,280.00,2,13.80,0.11,V
T Pyx,2439763.000,296.00,1,14.20,0.15,V
T Pyx,2439771.000,304.00,1,13.70,0.15,V
T Pyx,2439779.000,312.00,3,13.70,0.29,V
T Pyx,2439795.000,328.00,2,13.90,0.11,V
T Pyx,2439803.000,336.00,2,13.60,0.11,V
T Pyx,2439811.000,344.00,1,13.60,0.15,V
T Pyx,2439819.000,352.00,1,13.60,0.15,V
T Pyx,2439827.000,360.00,1,13.60,0.15,V
T Pyx,2439835.000,368.00,1,13.60,0.15,V
T Pyx,2439859.000,392.00,1,13.60,0.15,V
T Pyx,2439875.000,408.00,1,14.30,0.15,V
T Pyx,2439891.000,424.00,1,13.60,0.15,V
T Pyx,2439899.000,432.00,1,13.60,0.15,V
T Pyx,2439915.000,448.00,2,13.90,0.14,V
T Pyx,2439999.000,532.00,1,14.20,0.15,V
T Pyx,2440079.000,612.00,1,14.00,0.15,V
T Pyx,2440191.000,724.00,1,14.10,0.15,V
