#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
V693 CrA,2444697.500,0.50,1,7.00,0.15,V
V693 CrA,2444701.500,4.50,1,7.40,0.15,V
V693 CrA,2444702.500,5.50,1,7.40,0.15,V
V693 CrA,2444705.500,8.50,2,8.95,0.11,V
V693 CrA,2444707.000,10.00,3,8.57,0.24,V
V693 CrA,2444709.000,12.00,5,9.18,0.17,V
V693 CrA,2444711.000,14.00,3,9.43,0.09,V
V693 CrA,2444713.000,16.00,1,8.90,0.15,V
V693 CrA,2444715.000,18.00,1,9.90,0.15,V
V693 CrA,2444722.000,25.00,2,10.55,0.11,V
V693 CrA,2444726.000,29.00,4,10.55,0.11,V
V693 CrA,2444730.000,33.00,3,11.07,0.19,V
V693 CrA,2444734.000,37.00,2,10.50,0.14,V
V693 CrA,2444738.000,41.00,1,11.00,0.15,V
V693 CrA,2444754.000,57.00,1,12.00,0.15,V
V693 CrA,2444762.000,65.00,1,12.00,0.15,V
V693 CrA,2444766.000,69.00,1,11.50,0.15,V
V693 CrA,2444822.000,125.00,1,12.50,0.15,V
