#FILENAME,WAVELENGTH COL NUM,FLUX COL NUM,FLUX ERR COL NUM,FLUX UNITS,DATE,OBSERVER,TELESCOPE,INSTRUMENT,DISPERSION,WAVELENGTH RANGE 1,WAVELENGTH RANGE 2
V992SCOX_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4491e+06,Williams,CTIO 1 m,2D-Frutti,3.561475,3222.00000,10462.47868
V992SCOT_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44886e+06,Williams,CTIO 1 m,2D-Frutti,7.874721,5990.63400,10487.09969
V992SCOH_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44881e+06,Williams,CTIO 1 m,2D-Frutti,2.337,3591.21100,7141.11400
V992SCOS_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44884e+06,Williams,CTIO 1 m,2D-Frutti,8.263309,3018.17000,7744.78275
V992SCOM_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44882e+06,Williams,CTIO 1 m,2D-Frutti,2.341,3590.00000,7145.97900
V992SCOR_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44883e+06,Williams,CTIO 1 m,2D-Frutti,3.583063,3347.00000,10462.96312
V992SCOK_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44881e+06,Williams,CTIO 1 m,2D-Frutti,2.337,3640.00000,7189.90300
V992SCOE_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4488e+06,Williams,CTIO 1 m,2D-Frutti,2.342,3627.50000,7184.99800
V992SCOJ_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44881e+06,Williams,CTIO 1 m,2D-Frutti,2.334,3629.46400,7174.81000
V992SCOI_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44881e+06,Williams,CTIO 1 m,2D-Frutti,2.341,3592.05200,7148.03100
V992SCOG_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44881e+06,Williams,CTIO 1 m,2D-Frutti,2.338,3600.00000,7151.42200
V992SCOL_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44882e+06,Williams,CTIO 1 m,2D-Frutti,2.337,3590.99500,7140.89800
V992SCOF_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4488e+06,Williams,CTIO 1 m,2D-Frutti,2.341,3630.00000,7185.97900
V992SCOD_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44879e+06,Williams,CTIO 1 m,2D-Frutti,2.339,3657.82300,7210.76400
V992SCOO_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44883e+06,Williams,CTIO 1 m,2D-Frutti,2.341,3590.00000,7145.97900
V992SCOC_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44878e+06,Williams,CTIO 1 m,2D-Frutti,2.336,3652.54100,7200.92500
V992SCOB_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44878e+06,Williams,CTIO 1 m,2D-Frutti,2.337,3675.84800,7225.75100
V992SCON_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44882e+06,Williams,CTIO 1 m,2D-Frutti,2.338,3590.00000,7141.42200
V992SCOP_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44883e+06,Williams,CTIO 1 m,2D-Frutti,2.336,3646.26600,7194.65000
V992SCOW_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44907e+06,Williams,CTIO 1 m,2D-Frutti,8.287991,2963.27600,7695.71886
V992SCOQ_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44883e+06,Williams,CTIO 1 m,2D-Frutti,2.336,3646.26600,7194.65000
V992SCOU_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4489e+06,Williams,CTIO 1 m,2D-Frutti,7.877035,5987.86900,10485.65598
V992SCOY_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44916e+06,Williams,CTIO 1 m,2D-Frutti,8.272812,2998.96700,7722.74265
V992SCOV_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44892e+06,Williams,CTIO 1 m,2D-Frutti,8.290421,2951.57400,7685.40439
V992SCOA_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44877e+06,Williams,CTIO 1 m,2D-Frutti,2.334,3696.91800,7242.26400
