#Nova,JD,T,o_Vmag,Mag,e_Mag,Band
CP Lac,2428338.250,0.25,20,4.03,0.02,V
CP Lac,2428338.750,0.75,2,2.90,0.11,V
CP Lac,2428339.250,1.25,25,2.45,0.02,V
CP Lac,2428339.750,1.75,26,2.32,0.03,V
CP Lac,2428340.250,2.25,18,2.02,0.04,V
CP Lac,2428340.750,2.75,21,2.61,0.06,V
CP Lac,2428341.250,3.25,4,2.70,0.08,V
CP Lac,2428341.750,3.75,35,2.84,0.04,V
CP Lac,2428342.250,4.25,3,3.00,0.09,V
CP Lac,2428342.750,4.75,40,3.35,0.03,V
CP Lac,2428343.250,5.25,3,3.30,0.09,V
CP Lac,2428343.750,5.75,9,3.49,0.10,V
CP Lac,2428344.250,6.25,1,3.70,0.15,V
CP Lac,2428344.750,6.75,14,3.82,0.07,V
CP Lac,2428345.500,7.50,51,4.02,0.04,V
CP Lac,2428346.500,8.50,29,4.35,0.05,V
CP Lac,2428347.500,9.50,33,4.59,0.07,V
CP Lac,2428348.500,10.50,36,4.72,0.05,V
CP Lac,2428349.500,11.50,10,4.96,0.08,V
CP Lac,2428350.500,12.50,21,5.12,0.07,V
CP Lac,2428351.500,13.50,26,5.28,0.06,V
CP Lac,2428352.500,14.50,13,5.45,0.08,V
CP Lac,2428353.500,15.50,12,5.53,0.07,V
CP Lac,2428354.500,16.50,27,5.59,0.07,V
CP Lac,2428355.500,17.50,22,5.57,0.05,V
CP Lac,2428356.500,18.50,33,5.70,0.04,V
CP Lac,2428357.500,19.50,32,5.83,0.04,V
CP Lac,2428358.500,20.50,36,5.89,0.05,V
CP Lac,2428359.500,21.50,24,6.01,0.06,V
CP Lac,2428360.500,22.50,37,6.03,0.05,V
CP Lac,2428361.500,23.50,12,6.30,0.07,V
CP Lac,2428362.500,24.50,12,6.23,0.08,V
CP Lac,2428363.500,25.50,21,6.24,0.05,V
CP Lac,2428364.500,26.50,23,6.23,0.08,V
CP Lac,2428365.500,27.50,33,6.33,0.04,V
CP Lac,2428366.500,28.50,28,6.37,0.05,V
CP Lac,2428367.500,29.50,22,6.39,0.06,V
CP Lac,2428368.500,30.50,14,6.44,0.06,V
CP Lac,2428369.500,31.50,23,6.41,0.05,V
CP Lac,2428370.500,32.50,16,6.50,0.06,V
CP Lac,2428371.500,33.50,11,6.57,0.07,V
CP Lac,2428372.500,34.50,28,6.55,0.05,V
CP Lac,2428373.500,35.50,13,6.53,0.08,V
CP Lac,2428374.500,36.50,19,6.67,0.06,V
CP Lac,2428375.500,37.50,15,6.68,0.06,V
CP Lac,2428376.500,38.50,24,6.74,0.05,V
CP Lac,2428377.500,39.50,20,6.72,0.07,V
CP Lac,2428378.500,40.50,27,6.74,0.05,V
CP Lac,2428379.500,41.50,16,6.61,0.07,V
CP Lac,2428380.500,42.50,16,6.69,0.06,V
CP Lac,2428381.500,43.50,23,6.88,0.05,V
CP Lac,2428382.500,44.50,15,6.95,0.05,V
CP Lac,2428383.500,45.50,4,6.98,0.08,V
CP Lac,2428384.500,46.50,7,7.10,0.06,V
CP Lac,2428385.500,47.50,8,7.11,0.05,V
CP Lac,2428386.500,48.50,5,7.06,0.07,V
CP Lac,2428387.500,49.50,6,7.15,0.08,V
CP Lac,2428388.500,50.50,20,7.35,0.04,V
CP Lac,2428389.500,51.50,27,7.33,0.03,V
CP Lac,2428390.500,52.50,23,7.40,0.04,V
CP Lac,2428391.500,53.50,11,7.27,0.05,V
CP Lac,2428392.500,54.50,7,7.46,0.08,V
CP Lac,2428393.500,55.50,17,7.46,0.06,V
CP Lac,2428394.500,56.50,9,7.54,0.09,V
CP Lac,2428395.500,57.50,8,7.70,0.12,V
CP Lac,2428396.500,58.50,11,7.54,0.08,V
CP Lac,2428397.500,59.50,14,7.64,0.08,V
CP Lac,2428398.500,60.50,30,7.55,0.04,V
CP Lac,2428399.500,61.50,18,7.79,0.07,V
CP Lac,2428400.500,62.50,9,7.66,0.17,V
CP Lac,2428401.500,63.50,14,7.69,0.09,V
CP Lac,2428402.500,64.50,10,7.68,0.12,V
CP Lac,2428403.500,65.50,16,7.66,0.06,V
CP Lac,2428404.500,66.50,14,7.64,0.09,V
CP Lac,2428405.500,67.50,28,7.66,0.05,V
CP Lac,2428406.500,68.50,7,7.66,0.12,V
CP Lac,2428407.500,69.50,7,7.71,0.16,V
CP Lac,2428408.500,70.50,15,7.73,0.05,V
CP Lac,2428409.500,71.50,7,7.60,0.09,V
CP Lac,2428410.500,72.50,7,7.69,0.08,V
CP Lac,2428411.500,73.50,10,7.79,0.09,V
CP Lac,2428412.500,74.50,15,7.81,0.07,V
CP Lac,2428413.500,75.50,5,8.12,0.12,V
CP Lac,2428414.500,76.50,4,8.30,0.17,V
CP Lac,2428415.500,77.50,13,7.79,0.06,V
CP Lac,2428416.500,78.50,20,7.90,0.05,V
CP Lac,2428417.500,79.50,16,7.89,0.08,V
CP Lac,2428418.500,80.50,15,7.87,0.07,V
CP Lac,2428419.500,81.50,16,7.94,0.08,V
CP Lac,2428420.500,82.50,12,7.98,0.05,V
CP Lac,2428421.500,83.50,16,8.09,0.06,V
CP Lac,2428422.500,84.50,16,8.00,0.07,V
CP Lac,2428423.500,85.50,7,8.04,0.07,V
CP Lac,2428424.500,86.50,12,8.21,0.08,V
CP Lac,2428425.500,87.50,11,8.00,0.12,V
CP Lac,2428426.500,88.50,8,8.25,0.10,V
CP Lac,2428427.500,89.50,12,8.17,0.05,V
CP Lac,2428428.500,90.50,24,8.27,0.06,V
CP Lac,2428429.500,91.50,13,8.26,0.08,V
CP Lac,2428430.500,92.50,3,8.17,0.09,V
CP Lac,2428431.500,93.50,20,8.22,0.08,V
CP Lac,2428432.500,94.50,6,8.47,0.14,V
CP Lac,2428433.500,95.50,12,8.33,0.06,V
CP Lac,2428434.500,96.50,12,8.43,0.04,V
CP Lac,2428435.500,97.50,6,8.45,0.18,V
CP Lac,2428436.500,98.50,7,8.44,0.08,V
CP Lac,2428437.500,99.50,12,8.41,0.10,V
CP Lac,2428438.500,100.50,5,8.24,0.07,V
CP Lac,2428439.500,101.50,4,8.38,0.08,V
CP Lac,2428440.500,102.50,3,8.27,0.09,V
CP Lac,2428441.500,103.50,2,8.70,0.11,V
CP Lac,2428442.500,104.50,2,8.40,0.11,V
CP Lac,2428443.500,105.50,3,8.47,0.09,V
CP Lac,2428444.500,106.50,7,8.50,0.10,V
CP Lac,2428445.500,107.50,11,8.47,0.07,V
CP Lac,2428446.500,108.50,12,8.53,0.04,V
CP Lac,2428447.500,109.50,9,8.49,0.05,V
CP Lac,2428448.500,110.50,8,8.66,0.10,V
CP Lac,2428449.500,111.50,10,8.60,0.07,V
CP Lac,2428451.000,113.00,16,8.67,0.06,V
CP Lac,2428453.000,115.00,16,8.61,0.05,V
CP Lac,2428455.000,117.00,20,8.55,0.04,V
CP Lac,2428457.000,119.00,8,8.68,0.11,V
CP Lac,2428459.000,121.00,8,8.73,0.09,V
CP Lac,2428461.000,123.00,11,8.83,0.05,V
CP Lac,2428463.000,125.00,17,8.83,0.06,V
CP Lac,2428465.000,127.00,5,8.70,0.07,V
CP Lac,2428467.000,129.00,16,8.83,0.05,V
CP Lac,2428469.000,131.00,3,8.77,0.09,V
CP Lac,2428471.000,133.00,6,8.83,0.06,V
CP Lac,2428473.000,135.00,7,8.86,0.07,V
CP Lac,2428475.000,137.00,8,9.00,0.08,V
CP Lac,2428477.000,139.00,6,8.92,0.12,V
CP Lac,2428479.000,141.00,16,9.06,0.06,V
CP Lac,2428481.000,143.00,7,9.07,0.11,V
CP Lac,2428483.000,145.00,20,9.04,0.06,V
CP Lac,2428485.000,147.00,15,9.08,0.07,V
CP Lac,2428487.000,149.00,10,9.10,0.09,V
CP Lac,2428489.000,151.00,11,9.11,0.07,V
CP Lac,2428491.000,153.00,8,9.09,0.09,V
CP Lac,2428493.000,155.00,9,9.01,0.06,V
CP Lac,2428495.000,157.00,7,9.07,0.07,V
CP Lac,2428497.000,159.00,6,9.27,0.09,V
CP Lac,2428499.000,161.00,3,9.30,0.09,V
CP Lac,2428501.000,163.00,8,9.15,0.09,V
CP Lac,2428503.000,165.00,9,9.36,0.09,V
CP Lac,2428505.000,167.00,1,9.20,0.15,V
CP Lac,2428507.000,169.00,6,9.32,0.10,V
CP Lac,2428509.000,171.00,8,9.18,0.06,V
CP Lac,2428511.000,173.00,12,9.39,0.08,V
CP Lac,2428513.000,175.00,5,9.48,0.07,V
CP Lac,2428515.000,177.00,10,9.40,0.07,V
CP Lac,2428517.000,179.00,15,9.41,0.05,V
CP Lac,2428519.000,181.00,9,9.33,0.07,V
CP Lac,2428521.000,183.00,7,9.40,0.06,V
CP Lac,2428523.000,185.00,4,9.40,0.08,V
CP Lac,2428525.000,187.00,13,9.42,0.05,V
CP Lac,2428527.000,189.00,3,9.73,0.09,V
CP Lac,2428531.000,193.00,4,9.53,0.08,V
CP Lac,2428533.000,195.00,2,9.55,0.11,V
CP Lac,2428535.000,197.00,6,9.65,0.10,V
CP Lac,2428537.000,199.00,7,9.59,0.08,V
CP Lac,2428539.000,201.00,10,9.74,0.09,V
CP Lac,2428541.000,203.00,2,9.50,0.14,V
CP Lac,2428543.000,205.00,7,9.77,0.12,V
CP Lac,2428545.000,207.00,5,9.72,0.08,V
CP Lac,2428547.000,209.00,4,9.60,0.08,V
CP Lac,2428551.000,213.00,11,9.75,0.07,V
CP Lac,2428553.000,215.00,2,9.75,0.18,V
CP Lac,2428555.000,217.00,2,10.05,0.11,V
CP Lac,2428557.000,219.00,3,9.83,0.14,V
CP Lac,2428561.000,223.00,6,9.70,0.10,V
CP Lac,2428563.000,225.00,5,9.74,0.11,V
CP Lac,2428565.000,227.00,8,9.81,0.08,V
CP Lac,2428567.000,229.00,5,9.76,0.11,V
CP Lac,2428569.000,231.00,3,9.83,0.09,V
CP Lac,2428571.000,233.00,7,10.03,0.06,V
CP Lac,2428573.000,235.00,1,9.90,0.15,V
CP Lac,2428575.000,237.00,6,9.82,0.07,V
CP Lac,2428577.000,239.00,8,9.85,0.08,V
CP Lac,2428579.000,241.00,3,9.93,0.09,V
CP Lac,2428581.000,243.00,3,9.93,0.10,V
CP Lac,2428583.000,245.00,5,9.90,0.07,V
CP Lac,2428585.000,247.00,3,10.07,0.09,V
CP Lac,2428589.000,251.00,1,10.10,0.15,V
CP Lac,2428591.000,253.00,3,10.07,0.11,V
CP Lac,2428593.000,255.00,4,9.90,0.09,V
CP Lac,2428595.000,257.00,3,10.00,0.09,V
CP Lac,2428599.000,261.00,2,10.10,0.14,V
CP Lac,2428601.000,263.00,2,10.05,0.18,V
CP Lac,2428603.000,265.00,2,9.80,0.11,V
CP Lac,2428605.000,267.00,2,10.15,0.11,V
CP Lac,2428607.000,269.00,2,10.00,0.11,V
CP Lac,2428613.000,275.00,1,10.20,0.15,V
CP Lac,2428615.000,277.00,1,9.90,0.15,V
CP Lac,2428631.000,293.00,1,10.60,0.15,V
CP Lac,2428633.000,295.00,1,10.60,0.15,V
CP Lac,2428637.000,299.00,2,10.10,0.14,V
CP Lac,2428641.000,303.00,2,10.25,0.11,V
CP Lac,2428653.000,315.00,1,10.40,0.15,V
CP Lac,2428655.000,317.00,3,10.47,0.10,V
CP Lac,2428657.000,319.00,4,10.35,0.08,V
CP Lac,2428659.000,321.00,1,10.60,0.15,V
CP Lac,2428661.000,323.00,3,10.30,0.16,V
CP Lac,2428663.000,325.00,2,10.30,0.21,V
CP Lac,2428667.000,329.00,2,10.65,0.11,V
CP Lac,2428669.000,331.00,2,10.40,0.11,V
CP Lac,2428671.000,333.00,2,10.30,0.11,V
CP Lac,2428673.000,335.00,3,10.43,0.11,V
CP Lac,2428675.000,337.00,2,10.55,0.11,V
CP Lac,2428677.000,339.00,2,10.70,0.11,V
CP Lac,2428681.000,343.00,3,10.70,0.09,V
CP Lac,2428683.000,345.00,5,10.60,0.09,V
CP Lac,2428685.000,347.00,3,10.60,0.09,V
CP Lac,2428687.000,349.00,6,10.53,0.10,V
CP Lac,2428689.000,351.00,1,10.70,0.15,V
CP Lac,2428691.000,353.00,3,10.60,0.09,V
CP Lac,2428693.000,355.00,3,10.37,0.18,V
CP Lac,2428695.000,357.00,3,10.53,0.22,V
CP Lac,2428697.000,359.00,10,10.58,0.06,V
CP Lac,2428699.000,361.00,3,10.43,0.22,V
CP Lac,2428704.000,366.00,3,10.43,0.26,V
CP Lac,2428712.000,374.00,8,10.85,0.17,V
CP Lac,2428720.000,382.00,19,10.82,0.06,V
CP Lac,2428728.000,390.00,11,10.73,0.09,V
CP Lac,2428736.000,398.00,10,10.94,0.13,V
CP Lac,2428744.000,406.00,16,10.85,0.07,V
CP Lac,2428752.000,414.00,19,10.88,0.09,V
CP Lac,2428760.000,422.00,12,10.94,0.08,V
CP Lac,2428768.000,430.00,7,11.17,0.15,V
CP Lac,2428776.000,438.00,16,11.01,0.08,V
CP Lac,2428784.000,446.00,20,11.16,0.10,V
CP Lac,2428792.000,454.00,17,11.28,0.09,V
CP Lac,2428800.000,462.00,18,11.29,0.05,V
CP Lac,2428808.000,470.00,18,11.26,0.10,V
CP Lac,2428816.000,478.00,10,11.39,0.04,V
CP Lac,2428832.000,494.00,11,11.46,0.04,V
CP Lac,2428840.000,502.00,16,11.58,0.04,V
