#FILENAME,WAVELENGTH COL NUM,FLUX COL NUM,FLUX ERR COL NUM,FLUX UNITS,DATE,OBSERVER,TELESCOPE,INSTRUMENT,DISPERSION,WAVELENGTH RANGE 1,WAVELENGTH RANGE 2
V4157SGH_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44895e+06,Williams,CTIO 1 m,2D-Frutti,3.57255291938783,3197.58081,7459.63644
V4157SGG_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4489e+06,Williams,CTIO 1 m,2D-Frutti,7.87692308425907,5989.54736,10487.27044
V4157SGB_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44869e+06,Williams,CTIO 1 m,2D-Frutti,8.283712,3000.00000,7729.99955
V4157SGE_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44881e+06,Williams,CTIO 1 m,2D-Frutti,8.285444,3018.04000,7740.74308
V4157SGC_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4487e+06,Williams,CTIO 1 m,2D-Frutti,2.336,3666.18900,7214.57300
V4157SGA_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44867e+06,Williams,CTIO 1 m,2D-Frutti,2.35,3640.39800,7210.04800
V4157SGJ_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.4491e+06,Williams,CTIO 1 m,2D-Frutti,3.569819,3214.16600,7462.25061
V4157SGD_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44875e+06,Williams,CTIO 1 m,2D-Frutti,3.572192,3254.62800,7487.67552
V4157SGK_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44916e+06,Williams,CTIO 1 m,2D-Frutti,8.27227973937993,2999.93896,7723.41070
V4157SGF_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44883e+06,Williams,CTIO 1 m,2D-Frutti,3.582659,3251.00000,10226.43707
V4157SGI_Williams_Optical_Spectra.csv,0,1,NA,ergs/cm^2/sec,2.44907e+06,Williams,CTIO 1 m,2D-Frutti,8.29105472564702,2961.32056,7695.51280
